,protein,degree,inviable,icp55_shell,pim1_shell,betweenness,eigenvector,closeness,bridging,cluster_id,cluster_size,cluster_degree,cluster_eigenvector,cluster_closeness,betweenness/min-shell,closeness/min-shell,eigenvector/min-shell,bridging/min-shell,min-shell,cluster_betweenness
53,YPR133C,14,1,4,2,1.08E-05,3.13E-05,0.244216488,2.22E-06,5,62,9,0.040498776,0.521367521,5.42E-06,0.122108244,1.56E-05,1.11E-06,2,0
54,YPL228W,3,1,4,3,0,3.52E-06,0.211151146,0,5,62,3,0.006189482,0.423611111,0,0.070383715,1.17E-06,0,3,0
55,YIL021W,67,1,4,2,0.00554784,0.002280079,0.27821059,4.21E-05,5,62,41,0.199993876,0.75308642,0.00277392,0.139105295,0.00114004,2.10E-05,2,0.046808295
56,YLR418C,27,0,4,2,0.000133383,9.00E-05,0.255491588,6.40E-06,5,62,19,0.092483085,0.586538462,6.67E-05,0.127745794,4.50E-05,3.20E-06,2,0.004122521
57,YDR079C-A,36,0,4,2,0.000106484,0.000127019,0.251374835,2.89E-06,5,62,33,0.179096273,0.67032967,5.32E-05,0.125687418,6.35E-05,1.44E-06,2,0.01651635
58,YKL028W,32,1,4,2,3.82E-05,0.000126421,0.249945319,1.48E-06,5,62,30,0.173092885,0.64893617,1.91E-05,0.12497266,6.32E-05,7.40E-07,2,0.005726581
59,YER139C,20,0,4,3,9.12E-05,0.000113368,0.249141549,7.53E-06,5,62,17,0.096489703,0.570093458,3.04E-05,0.083047183,3.78E-05,2.51E-06,3,0.003779656
60,YPR161C,13,1,4,2,5.95E-05,1.76E-05,0.245199013,1.06E-05,5,62,9,0.037358314,0.516949153,2.97E-05,0.122599506,8.82E-06,5.32E-06,2,0.000643417
61,YIL143C,47,1,4,2,0.000899249,0.000136156,0.261873389,1.42E-05,5,62,32,0.178392104,0.663043478,0.000449625,0.130936694,6.81E-05,7.12E-06,2,0.008550305
62,YDR156W,14,0,4,3,0,0.001033746,0.237491557,0,5,62,7,0.035545324,0.438848921,0,0.079163852,0.000344582,0,3,0
