,protein,degree,inviable,icp55_shell,pim1_shell,betweenness,eigenvector,closeness,bridging,cluster_id,cluster_size,cluster_degree,cluster_eigenvector,cluster_closeness
3522,YMR023C,2,0,6,6,0.0,6.023263017886098e-11,0.1573710665840391,0.0,323,3,2,0.5773502691896258,1.0
3523,YGL236C,2,0,6,6,0.0,6.023263017886098e-11,0.1573710665840391,0.0,323,3,2,0.5773502691896258,1.0
3524,YDL033C,3,0,5,5,0.0008748905549063714,9.78764863517359e-09,0.1867467418392777,0.0002744754682059204,323,3,2,0.5773502691896258,1.0
3525,YGR267C,5,0,5,5,0.00035407975810429715,1.2328042811850184e-07,0.20554906016728122,0.00011439499877215755,324,3,2,0.5773502691896258,1.0
3526,YMR113W,5,0,5,5,3.405559596871895e-05,3.8515764616700946e-07,0.20844543754845182,1.2126621709929597e-05,324,3,2,0.5773502691896258,1.0
3527,YNL256W,6,0,5,5,6.255559946489443e-05,1.2555037964351068e-07,0.1970513428460577,9.918215090696738e-06,324,3,2,0.5773502691896258,1.0
3528,YHR175W,8,0,5,4,0.00611532585289141,2.8076431072558626e-07,0.21898054996646546,0.0006468873598250331,325,3,2,0.5773502691896258,1.0
3529,YMR021C,3,0,6,5,4.2654903660381586e-05,1.890489836343147e-09,0.18151133701306438,3.0390262149890187e-05,325,3,2,0.5773502691896258,1.0
3530,YLR411W,7,0,5,4,0.0024183375116005887,2.6770713136290152e-08,0.19490874978679856,0.00024401976152370875,325,3,2,0.5773502691896258,1.0
3531,YER007C-A,4,0,4,3,2.746479164665881e-05,0.0004389438687757019,0.23606879099313122,1.8071296132329247e-05,326,3,2,0.5773502691896258,1.0
3532,YDR117C,4,0,4,4,4.516403145212361e-06,0.0004833115360746629,0.23275115840928765,2.96522863044303e-06,326,3,2,0.5773502691896258,1.0
3533,YJR014W,9,0,4,4,0.00037317356242394495,0.0018118929744829985,0.2561932518775922,6.987182201501709e-05,326,3,2,0.5773502691896258,1.0
3534,YLR110C,3,0,4,4,0.0004245090461915765,1.4820193480987855e-06,0.22173174872665535,0.0002505299288999468,327,3,1,0.5000000644180599,0.6666666666666666
3535,YKL096W-A,2,0,5,5,3.584744076266545e-05,9.162654125402678e-09,0.18310366928376862,2.688558057199909e-05,327,3,2,0.707106690085642,1.0
3536,YDR077W,3,0,4,5,0.0009231955168436969,1.8060070142650734e-08,0.1883007209062822,0.00027695865505310903,327,3,1,0.5000000644180599,0.6666666666666666
3537,YPR155C,2,0,6,5,0.0008748905549063714,1.6134846002938118e-08,0.18160508541914977,0.0007402920079976989,328,3,1,0.5000000644180599,0.6666666666666666
3538,YIL087C,1,0,8,7,0.0,6.024032275340036e-13,0.1332342310831293,0.0,328,3,1,0.5000000644180599,0.6666666666666666
3539,YKR070W,2,0,7,6,0.00043754101947057533,9.858906880258526e-11,0.1537090591162822,0.00014584700649019177,328,3,2,0.707106690085642,1.0
3540,YGR140W,12,0,5,4,0.00016413470980641888,8.436724777200373e-07,0.22507262789896104,1.3261347724122746e-05,329,3,2,0.5773502691896258,1.0
3541,YMR168C,6,0,5,4,2.413149750615484e-05,5.201433278434882e-07,0.2190435115967031,9.921687173558208e-06,329,3,2,0.5773502691896258,1.0
3542,YMR094W,7,0,5,4,5.591404939284377e-05,5.786079912583404e-07,0.2202148672736908,1.465460094598492e-05,329,3,2,0.5773502691896258,1.0
3543,YDR279W,3,0,5,4,1.9525353106707594e-05,3.4023624575237486e-07,0.21255521971634503,1.159400184473865e-05,330,3,2,0.5773502691896258,1.0
3544,YLR154C,2,0,6,5,0.0,7.05662120824595e-08,0.19490874978679856,0.0,330,3,2,0.5773502691896258,1.0
3545,YNL072W,20,0,5,4,0.0009376860099665632,1.120424091428855e-05,0.24206958640046602,2.201071874320538e-05,330,3,2,0.5773502691896258,1.0
3546,YOR094W,21,0,4,4,0.0021853917127482754,3.2806814821899668e-06,0.25373300027754647,4.3060924211123035e-05,331,3,2,0.707106690085642,1.0
3547,YCL034W,2,0,5,5,1.7473068265934927e-06,8.271437764000328e-07,0.21415854572713644,9.386694812630158e-06,331,3,1,0.5000000644180599,0.6666666666666666
3548,YGL181W,3,0,4,4,0.00016017799252456517,5.359596006714392e-06,0.2247627477012342,0.0006324977140713599,331,3,1,0.5000000644180599,0.6666666666666666
3549,YHR016C,7,0,4,4,0.00029694214806994483,3.1928916393193588e-06,0.24099752201191543,8.756267759284236e-05,332,3,2,0.5773502691896258,1.0
3550,YFR024C-A,5,0,4,5,0.0002271401740072826,8.948155777826656e-07,0.2211310531662716,0.00011825751276671596,332,3,2,0.5773502691896258,1.0
3551,YOR042W,9,0,3,4,0.00270642194210548,4.7759391156971225e-06,0.2362151826778978,0.00014492219234835235,332,3,2,0.5773502691896258,1.0
3552,YPL115C,5,0,5,4,0.0,3.0341552565132473e-07,0.22420051010398273,0.0,333,3,1,0.5000000644180599,0.6666666666666666
3553,YNL298W,22,0,4,4,0.0015602240353641765,8.36800463180262e-06,0.2562794348508634,4.662878592352472e-05,333,3,2,0.707106690085642,1.0
3554,YPR188C,8,0,4,4,7.543943232697062e-05,2.5498737270850133e-06,0.24068028643639428,2.1741924646917095e-05,333,3,1,0.5000000644180599,0.6666666666666666
3555,YER042W,7,0,4,4,0.0018864611467209373,5.6464955726903e-06,0.23367925975154644,0.00030552965915909083,334,3,2,0.5773502691896258,1.0
3556,YCL033C,3,0,5,5,0.0010383520707916293,3.471024491397625e-08,0.1901018922852984,0.00047662062265845277,334,3,2,0.5773502691896258,1.0
3557,YKL069W,4,0,4,5,8.130851032318628e-05,3.572415168634141e-08,0.1927472064094455,3.226340598579921e-05,334,3,2,0.5773502691896258,1.0
3558,YGR136W,5,0,5,4,9.487587718124812e-05,8.151062404334103e-06,0.22613040467003068,4.7009710041703713e-05,335,3,2,0.5773502691896258,1.0
3559,YPR154W,4,0,5,5,0.0,1.2371273676147308e-07,0.207602870378781,0.0,335,3,2,0.5773502691896258,1.0
3560,YJL020C,15,0,5,4,0.0001291603879949045,2.0126013393063675e-06,0.22144172076349192,6.138249680440518e-06,335,3,2,0.5773502691896258,1.0
3561,YKR020W,5,0,5,5,0.00018264294178050154,2.4352538085892917e-08,0.18964444260050617,6.491617400483444e-05,336,3,1,0.5000000644180599,0.6666666666666666
3562,YDL224C,1,0,7,6,0.0,3.9693414626707117e-11,0.16250711035267348,0.0,336,3,1,0.5000000644180599,0.6666666666666666
3563,YNL197C,4,0,6,5,0.0014081743470133721,6.491959604307973e-09,0.19403175142202225,0.0001992699547660432,336,3,2,0.707106690085642,1.0
3564,YPL200W,2,0,5,4,0.0,5.337890887080054e-09,0.1839214581740635,0.0,337,3,2,0.5773502691896258,1.0
3565,YJL019W,8,0,4,3,0.0015285658467025407,8.678766404574233e-07,0.2253500295799645,0.00010850236705285996,337,3,2,0.5773502691896258,1.0
3566,YOL104C,2,0,5,4,0.0,5.337890887080054e-09,0.1839214581740635,0.0,337,3,2,0.5773502691896258,1.0
3567,YJL105W,3,0,5,3,0.00011202609381424557,3.2062501269098046e-07,0.2081511839708561,4.805757067973433e-05,338,3,2,0.5773502691896258,1.0
3568,YHR207C,4,0,4,3,0.00033369995138142044,1.2187722193992441e-06,0.2174802550195071,9.552325957723225e-05,338,3,2,0.5773502691896258,1.0
3569,YPL165C,2,0,5,4,0.0,9.410539894301134e-09,0.17864540587016844,0.0,338,3,2,0.5773502691896258,1.0
3570,YAR014C,4,0,5,5,0.0001002539062365522,1.2125440823383857e-07,0.22306265859847746,4.8210771806894966e-05,339,3,2,0.5773502691896258,1.0
3571,YGR238C,4,0,5,5,3.6522259759475824e-06,3.493032897250003e-08,0.20626325526826406,1.6073366153314544e-06,339,3,2,0.5773502691896258,1.0
3572,YHR158C,5,0,5,5,1.6477447641230248e-05,6.104197245237943e-08,0.213289160561803,5.089816003246895e-06,339,3,2,0.5773502691896258,1.0
3573,YGL090W,5,0,5,4,0.0,2.464935467884646e-07,0.2085785991330139,0.0,340,3,2,0.5773502691896258,1.0
3574,YCR014C,12,0,5,4,0.0001476723100780175,8.050154271388498e-06,0.23393039918116684,1.5572865021683812e-05,340,3,2,0.5773502691896258,1.0
3575,YLR265C,5,0,5,4,0.0,2.464935467884646e-07,0.2085785991330139,0.0,340,3,2,0.5773502691896258,1.0
3576,YDR284C,13,0,5,4,0.00018918587817533662,1.969669995710844e-08,0.2120621665506843,1.4596219545329394e-05,341,3,1,0.5000000644180599,0.6666666666666666
3577,YHR004C,2,0,5,5,0.0,9.894468923590365e-09,0.19505846206366817,0.0,341,3,1,0.5000000644180599,0.6666666666666666
3578,YAL009W,4,0,4,4,0.0006934963081882737,1.473461101389697e-06,0.22167798254122212,0.00027189846664408217,341,3,2,0.707106690085642,1.0
