,0
4932.YLR185W,1.1166608789347525e-06
4932.YER126C,2.205500735098921e-06
4932.YKL081W,2.451079271352627e-05
4932.YNR053C,4.875097371444344e-06
4932.YJR123W,7.05682422969826e-06
4932.YER117W,3.86450168526135e-07
4932.YML026C,1.1317467257370265e-06
4932.YMR194W,2.0325716013700568e-07
4932.YLR009W,2.241767838046502e-06
4932.YBR181C,2.6899089134214034e-06
4932.YGR034W,1.5847562404836263e-06
4932.YLR048W,2.3661080926460924e-06
4932.YPL198W,2.8329773665760816e-08
4932.YER074W,4.161543667797684e-07
4932.YIL069C,4.158106933107904e-07
4932.YGL135W,2.2420318273153595e-06
4932.YPL131W,1.2770230048438576e-05
4932.YJR094W-A,2.0793490332335084e-07
4932.YFL034C-A,2.302626090987441e-08
4932.YGL103W,8.946309380629882e-06
4932.YOR167C,7.425886637070118e-07
4932.YLR344W,2.361372149674829e-06
4932.YBR189W,1.6694824198647003e-06
4932.YPL081W,1.336108461230105e-06
4932.YOR133W,1.250098177825407e-05
4932.YEL034W,4.1788893713464225e-06
4932.YMR121C,1.5929329352262041e-06
4932.YOR361C,1.0818016413288514e-05
4932.YOR294W,2.389791313963201e-06
4932.YPL249C-A,2.1306128773762492e-07
4932.YMR146C,3.522167682219254e-06
4932.YDL143W,5.8629021871273304e-05
4932.YKR081C,2.702972390508598e-06
4932.YIL018W,2.2237497371592904e-06
4932.YLR448W,1.9790993986273717e-07
4932.YDL081C,2.440526760715218e-08
4932.YBR048W,2.0424095100915237e-06
4932.YOL040C,2.7037780063389634e-06
4932.YCR031C,2.1161300360427253e-06
4932.YNL302C,2.2536921915246637e-07
4932.YDL075W,8.752041715947258e-07
4932.YMR143W,1.6967082883816474e-06
4932.YNL110C,2.2631143911517843e-06
4932.YGL099W,1.6637240832830611e-06
4932.Q0045,1.1430823316133433e-05
4932.YML120C,2.654934101779023e-05
4932.YPL172C,2.517304023271712e-05
4932.Q0065,6.140211361422385e-08
4932.YLR067C,4.1198905843795665e-05
4932.YDR119W-A,3.9343161746252906e-08
4932.YEL024W,1.5362884218314087e-05
4932.Q0275,1.0591448543583683e-05
4932.YBL045C,1.1136669687072513e-05
4932.YLR395C,4.221482238990519e-06
4932.YGL187C,1.0577281114051234e-05
4932.YIL111W,3.0992116170046977e-06
4932.YHR051W,2.3990792185074086e-05
4932.YJL062W-A,0.0
4932.YNR018W,2.688749979212205e-07
4932.Q0120,0.0006083919846338123
4932.YFR033C,1.4119784959199364e-05
4932.Q0050,8.345351467799489e-06
4932.YMR256C,3.171352473418669e-06
4932.Q0105,1.0665527476134074e-05
4932.YDR529C,6.62833458619762e-06
4932.Q0250,1.6960258712306288e-05
4932.YHR001W-A,4.1879365736006194e-07
4932.YML129C,0.0
4932.YLR038C,1.08669521778874e-05
4932.Q0070,2.5888350810193906e-05
4932.YDL067C,5.6743509252520514e-08
4932.YLR203C,6.373454941574492e-05
4932.YPR191W,1.4503031668725942e-05
4932.Q0130,3.179466242323982e-05
4932.Q0110,4.5363161418451386e-05
4932.YMR145C,2.6732748427593274e-05
4932.Q0085,7.379684520731617e-05
4932.YGR112W,1.6445977617431198e-05
4932.YDL085W,3.3268312168169976e-05
4932.YNL052W,1.3910908418673003e-05
4932.YIL157C,0.0
4932.YGL191W,0.00012987266462296285
4932.YGR183C,6.414933980737534e-05
4932.YJL166W,4.623354023237684e-06
4932.Q0140,2.3132526671096815e-05
4932.YOR065W,2.6839249083299134e-05
4932.Q0115,6.75378850247715e-05
4932.Q0060,0.0
4932.YLL018C-A,1.9393332099844924e-05
4932.YDR197W,0.00021421279078246918
4932.YKL141W,2.1900083357478062e-05
4932.YEL039C,0.00025492779046061125
4932.YDR178W,2.6454600000508307e-05
4932.YJR048W,2.81611542544668e-05
4932.YPL215W,2.7299031855776295e-05
4932.YLL041C,3.3088284084203805e-05
4932.YGR062C,5.382663625871223e-05
4932.YJL003W,2.2833142686175354e-08
4932.YKL148C,2.6489344996087498e-05
4932.YPL132W,2.9458563742960745e-05
4932.YDR231C,1.6883900431412704e-05
4932.YJL045W,1.6082468373023125e-05
4932.YLR163C,6.175637611776039e-05
4932.YDR296W,0.0001735535390897166
4932.YBR010W,1.7427690969517027e-05
4932.YBR166C,0.0001337090856045844
4932.YBR193C,7.56125581666095e-06
4932.YBR236C,2.4955470976432476e-05
4932.YBR253W,5.152330769288256e-06
4932.YBR289W,3.492120085960821e-05
4932.YCR053W,6.158090928020363e-05
4932.YDL115C,1.461765413618284e-05
4932.YGL044C,1.0288107571143921e-05
4932.YHR119W,2.5635844403318864e-05
4932.YPL046C,0.00011498313620300827
4932.YPR056W,4.137402948996353e-06
4932.YDR334W,1.2145051517395611e-05
4932.YLR071C,7.91879500577351e-06
4932.YOR290C,6.30670490624496e-05
4932.YHR165C,1.3858356894054596e-05
4932.YKL058W,4.355524449118172e-06
4932.YML112W,3.579902551709004e-05
4932.YLR005W,6.354207471374236e-06
4932.YLR226W,1.0745544787248799e-06
4932.YGR208W,0.0001165570074179944
4932.YPL178W,2.4003349535799424e-05
4932.YDR460W,1.6947859712415473e-05
4932.YFL039C,5.233125676541794e-05
4932.YMR201C,2.0043189654855125e-05
4932.YDR289C,1.309424889423395e-05
4932.YMR112C,6.5548278224414344e-06
4932.YIL126W,5.766288513507217e-05
4932.YMR061W,1.7609013667750105e-05
4932.YNL251C,7.290037765856934e-06
4932.YOR174W,4.422483598811866e-06
4932.YGR252W,2.2934705132489176e-05
4932.YOR048C,1.9305242354530374e-05
4932.YPR168W,5.956260162028931e-06
4932.YGR104C,6.644575905090763e-06
4932.YJL168C,1.6568379333750844e-05
4932.YKL139W,3.528555904057069e-05
4932.YGR274C,2.0864342769998917e-05
4932.YHR041C,5.075347575322709e-06
4932.YOR001W,1.0925403721229192e-05
4932.YPR025C,1.4082365123445637e-05
4932.YHR058C,7.589224062678241e-06
4932.YPL190C,4.053666091307837e-05
4932.YDR308C,8.020907713594855e-06
4932.YMR039C,0.0
4932.YNL222W,2.5401511018254882e-05
4932.YER022W,6.688551867287719e-06
4932.YER023W,0.00012870861480914877
4932.YOL135C,8.733439199836528e-06
4932.YJR072C,1.1965755686038644e-05
4932.YER125W,3.187242677063812e-05
4932.YOR194C,2.024975810426343e-06
4932.YER139C,7.529831100780865e-06
4932.YGL058W,3.975427864538784e-05
4932.YKL160W,0.0
4932.YDR416W,1.1926243575504697e-05
4932.YLR430W,6.094003609605637e-05
4932.YDR228C,3.256798411675804e-05
4932.YER151C,6.11441190992625e-05
4932.YGL130W,8.745220146359196e-06
4932.YJR017C,8.507042907028468e-05
4932.Q0160,0.0003698747749779795
4932.YLR378C,7.444714639073805e-05
4932.YDL185W,2.158080793836294e-05
4932.YFL037W,6.925067313113326e-05
4932.YGL112C,2.1985119492913783e-06
4932.YOR262W,8.370716254981888e-05
4932.Q0142,0.0
4932.YBR265W,6.165293368952576e-05
4932.YDL114W,0.00020053963392401372
4932.YOR171C,6.21133911874665e-05
4932.YDR062W,0.00025429459180381257
4932.YHL003C,3.633537437675645e-05
4932.YLR260W,5.68570313500184e-05
4932.YMR296C,6.241630290993756e-05
4932.YJL134W,8.202621791475364e-07
4932.YKL008C,4.070468764649859e-05
4932.YDR297W,8.715266146346546e-06
4932.YKR053C,8.202621791475364e-07
4932.YPL087W,1.8218067918145375e-05
4932.YBR283C,4.7131611880954094e-05
4932.YDR086C,5.921052883862931e-05
4932.YDL020C,0.0002695612096417533
4932.YML007W,0.00014525341530209493
4932.YGR135W,1.022599656479666e-05
4932.YLR024C,3.492693506766427e-05
4932.YKL203C,4.534496678967614e-05
4932.YBL105C,0.00010784952206126316
4932.YBR028C,8.002845208515108e-05
4932.YBR270C,2.1251017100021915e-06
4932.YCR027C,7.831300395053727e-05
4932.YDL047W,5.784206639590466e-05
4932.YDL134C,2.857597633305551e-05
4932.YDL188C,1.9331147768622037e-05
4932.YDR283C,4.3204811578166096e-05
4932.YER093C,2.6810097672868304e-05
4932.YGL073W,9.660089164205541e-05
4932.YGL180W,6.974528994826653e-05
4932.YGR099W,2.554973742081855e-05
4932.YGR163W,5.562730425071024e-05
4932.YGR249W,6.609405923413307e-05
4932.YHR186C,2.9047010161290942e-05
4932.YHR205W,4.421633399601354e-05
4932.YHR206W,9.921658630952695e-05
4932.YIL105C,3.6754062486926706e-05
4932.YJL058C,1.9505268876580557e-06
4932.YJR007W,2.713621816874924e-05
4932.YJR066W,6.418240395172707e-05
4932.YJR147W,6.609405923413307e-05
4932.YKL033W,2.6623968443847033e-05
4932.YKL126W,2.7096324789342264e-05
4932.YNL006W,1.9691700235848995e-05
4932.YMR068W,5.90540616772333e-07
4932.YPL180W,2.1612137717187526e-06
4932.YOL078W,2.0384116026777837e-06
4932.YOL139C,3.1105045515187954e-05
4932.YMR104C,3.9901610864375024e-05
4932.YMR106C,2.924485431199606e-05
4932.YMR284W,2.6390844979329412e-05
4932.YML121W,5.19047910618364e-05
4932.YNL135C,4.9737250073793936e-05
4932.YMR028W,1.2341092620737297e-05
4932.YGR253C,8.694065220224475e-06
4932.YBL041W,3.3777403997899986e-05
4932.YBR173C,1.0397104175031896e-05
4932.YBR295W,0.0
4932.YDL007W,1.0686096695707787e-05
4932.YDL097C,3.5461859274766664e-06
4932.YDL147W,1.0036680080832937e-05
4932.YDR363W-A,5.865128274826119e-06
4932.YDR394W,3.085138505120819e-06
4932.YDR427W,1.4999064188248085e-06
4932.YER012W,6.2488259403465846e-06
4932.YER021W,2.417481852405461e-05
4932.YER094C,7.10337841812153e-06
4932.YFL007W,1.4842261041273043e-06
4932.YFR004W,2.178604435052758e-05
4932.YFR010W,6.946297461298485e-06
4932.YFR050C,2.7828731870274855e-05
4932.YFR052W,2.078442914263636e-06
4932.YGL011C,3.99514173819127e-06
4932.YGL048C,2.5626696090099893e-05
4932.YPR103W,2.9583132776559795e-06
4932.YKL206C,7.545930982203018e-06
4932.YJL095W,4.663062209317973e-05
