,cluster,size,icp55_shorpl,icp55_shorpl_mean,icp55_shorpl_std,pim1_shorpl,pim1_shorpl_mean,pim1_shorpl_std
420,420,9,4,5.444444444444445,0.6849348892187751,4,4.666666666666667,0.4714045207910317
421,421,3,5,5.666666666666667,0.9428090415820634,4,4.666666666666667,0.9428090415820634
422,422,4,4,4.5,0.5,4,4.5,0.5
423,423,1,5,5.0,0.0,4,4.0,0.0
424,424,4,4,4.75,0.4330127018922193,4,4.5,0.5
425,425,2,4,4.0,0.0,4,4.5,0.5
426,426,1,4,4.0,0.0,4,4.0,0.0
427,427,2,4,4.5,0.5,4,4.0,0.0
428,428,1,7,7.0,0.0,5,5.0,0.0
429,429,3,7,7.666666666666667,0.4714045207910317,5,5.666666666666667,0.4714045207910317
430,430,4,8,8.5,0.5,6,6.5,0.5
431,431,1,7,7.0,0.0,5,5.0,0.0
432,432,1,3,3.0,0.0,4,4.0,0.0
433,433,3,3,4.333333333333333,0.9428090415820634,4,5.0,0.816496580927726
434,434,5,4,5.0,0.6324555320336759,2,4.0,1.0954451150103321
435,435,1,4,4.0,0.0,4,4.0,0.0
436,436,1,4,4.0,0.0,4,4.0,0.0
437,437,13,3,4.153846153846154,0.6617173282340483,4,4.538461538461538,0.49851851526214314
438,438,1,4,4.0,0.0,4,4.0,0.0
439,439,8,4,4.75,0.4330127018922193,3,4.25,0.6614378277661477
440,440,1,5,5.0,0.0,5,5.0,0.0
441,441,2,5,5.0,0.0,4,4.5,0.5
442,442,2,6,6.5,0.5,6,6.5,0.5
443,443,6,4,6.0,1.1547005383792515,4,5.666666666666667,0.9428090415820634
444,444,4,5,5.25,0.4330127018922193,5,5.25,0.4330127018922193
445,445,3,6,6.666666666666667,0.4714045207910317,6,6.333333333333333,0.4714045207910317
446,446,15,5,6.2,0.7483314773547882,4,5.333333333333333,0.5962847939999438
447,447,2,4,4.5,0.5,4,4.0,0.0
448,448,1,4,4.0,0.0,3,3.0,0.0
449,449,2,6,6.5,0.5,6,6.5,0.5
450,450,6,5,5.833333333333333,0.372677996249965,4,4.833333333333333,0.372677996249965
451,451,6,4,4.833333333333333,0.372677996249965,4,4.666666666666667,0.4714045207910317
452,452,3,5,5.666666666666667,0.4714045207910317,5,5.0,0.0
453,453,1,3,3.0,0.0,4,4.0,0.0
454,454,4,4,4.0,0.0,5,5.0,0.0
455,455,2,5,5.0,0.0,4,4.0,0.0
456,456,1,4,4.0,0.0,4,4.0,0.0
457,457,5,4,5.0,0.6324555320336759,4,5.0,0.6324555320336759
458,458,1,5,5.0,0.0,4,4.0,0.0
459,459,2,4,4.5,0.5,4,4.5,0.5
460,460,13,5,5.769230769230769,0.5756395979652218,4,4.923076923076923,0.4741856925360751
461,461,5,6,7.0,0.6324555320336759,5,6.6,0.7999999999999999
462,462,5,6,6.6,0.4898979485566356,5,6.2,0.7483314773547882
463,463,1,5,5.0,0.0,5,5.0,0.0
464,464,6,9,9.666666666666666,0.4714045207910317,7,7.666666666666667,0.4714045207910317
465,465,1,4,4.0,0.0,3,3.0,0.0
466,466,1,4,4.0,0.0,4,4.0,0.0
467,467,1,4,4.0,0.0,4,4.0,0.0
468,468,1,4,4.0,0.0,4,4.0,0.0
469,469,1,4,4.0,0.0,3,3.0,0.0
470,470,3,4,4.666666666666667,0.4714045207910317,4,4.333333333333333,0.4714045207910317
471,471,1,6,6.0,0.0,5,5.0,0.0
472,472,3,4,4.333333333333333,0.4714045207910317,3,3.6666666666666665,0.4714045207910317
473,473,2,6,7.0,1.0,5,6.0,1.0
474,474,1,5,5.0,0.0,4,4.0,0.0
475,475,1,4,4.0,0.0,3,3.0,0.0
476,476,6,6,6.5,0.5,5,5.5,0.5
477,477,2,5,6.0,1.0,5,6.0,1.0
478,478,2,6,6.0,0.0,6,6.0,0.0
479,479,2,6,6.5,0.5,6,6.0,0.0
480,480,1,5,5.0,0.0,5,5.0,0.0
481,481,6,4,5.0,0.5773502691896257,4,5.0,0.5773502691896257
482,482,3,7,7.666666666666667,0.4714045207910317,7,7.666666666666667,0.4714045207910317
483,483,1,5,5.0,0.0,5,5.0,0.0
484,484,1,5,5.0,0.0,4,4.0,0.0
485,485,1,5,5.0,0.0,6,6.0,0.0
486,486,9,4,4.888888888888889,0.3142696805273545,4,4.666666666666667,0.4714045207910317
