,protein,deg,closeness,betweeness,eigenvector,bridging,clustering_coefficient,cluster,cluster_size
1813,4932.YGL238W,14,0.2785501066098081,1.09860681613636e-05,0.00026145027340665765,1.6458495783721484e-06,0.7252747252747253,83,21
1814,4932.YLR347C,42,0.29821037253469684,0.0013645834684277523,0.0007511052509804922,1.88363600061299e-05,0.3832752613240418,83,21
1815,4932.YOR160W,15,0.2782416084511842,5.7738849643605867e-05,0.00026902740326336484,5.337091723962827e-06,0.6285714285714286,83,21
1816,4932.YER009W,19,0.2785501066098081,5.17105141397007e-05,0.000309033189342254,3.275139099486678e-06,0.6257309941520468,83,21
1817,4932.YNL189W,32,0.3037009484842849,0.0029010686774439544,0.00042172500267304583,3.0020420051945098e-05,0.37701612903225806,83,21
1818,4932.YOL123W,17,0.2868686868686869,0.0012135767234860366,9.469195672396763e-05,0.00011508759506849741,0.5,42,39
1819,4932.YPL125W,10,0.26025978165590885,3.7981787482004502e-06,0.00010523828368001779,8.602203131812579e-07,0.8888888888888888,83,21
1820,4932.YOR185C,22,0.2961283887931816,0.00035403350427340235,0.00046571251379259605,1.6577703687571403e-05,0.42424242424242425,83,21
1821,4932.YDR361C,51,0.28123654525101177,7.962700966750738e-05,0.012555661391242786,2.503274084191936e-06,0.7709803921568628,13,207
1822,4932.YML080W,17,0.25710462095567976,7.491239501470267e-07,0.003552690466560886,2.2095184044900198e-07,0.7720588235294118,176,11
1823,4932.YLR336C,47,0.27577471924343494,5.27933613038859e-06,0.01161577350119119,3.302235844306987e-07,0.8593894542090657,13,207
1824,4932.YNR054C,71,0.2883885209713024,1.4390314429649326e-05,0.017555556680016002,3.8629535716115353e-07,0.8044265593561368,13,207
1825,4932.YER052C,9,0.25,0.00022491244750510187,4.342522320486199e-06,3.275785398948851e-05,0.2777777777777778,108,14
1826,4932.YJR139C,8,0.2247299249982798,6.416160891310041e-05,1.3530804863617518e-07,1.312482179845813e-05,0.5714285714285714,119,17
1827,4932.YHR025W,8,0.2277704163470256,0.00015935459313911796,2.620161328955627e-07,3.0873957346985785e-05,0.39285714285714285,119,17
1828,4932.YAL029C,13,0.2724618336531242,0.0007518093976199866,9.737835493930081e-06,4.9005350259395614e-05,0.2692307692307692,296,9
1829,4932.YAL041W,19,0.27234823215476983,0.0005431071804417178,5.320756142521603e-06,1.6642504690698834e-05,0.34502923976608185,238,46
1830,4932.YBR200W,21,0.283605418548107,0.0017805304798920773,1.277357727544219e-05,3.422495398699561e-05,0.2714285714285714,238,46
1831,4932.YBR234C,10,0.2630264959329951,5.098063361368029e-05,2.6300164959055397e-06,9.377752451035086e-06,0.6888888888888889,9,110
1832,4932.YCR009C,25,0.27969512717307526,0.0015611174357413099,5.590582532222864e-06,3.064600824620504e-05,0.48,298,9
1833,4932.YCR088W,29,0.2758445945945946,0.0007905521747104104,4.673501206081631e-06,1.1482383035933435e-05,0.39655172413793105,9,110
1834,4932.YDL029W,40,0.2846931659693166,0.001708167213486012,8.728192722950781e-06,1.6177047857055386e-05,0.3217948717948718,9,110
1835,4932.YDL192W,34,0.2981287083523505,0.011213599673525225,7.529235675350259e-05,7.365508956727497e-05,0.16042780748663102,130,26
1836,4932.YDR129C,26,0.2747308209959623,0.00020618760588015048,3.77351208210055e-06,3.8077643233753276e-06,0.4153846153846154,9,110
1837,4932.YDR181C,14,0.2759611322348965,1.7301518266006577e-05,6.713060911338873e-06,3.0018015913956336e-06,0.8791208791208791,9,110
1838,4932.YDR359C,19,0.2722347253480037,1.0205556203853781e-06,5.293032089154463e-06,8.583616242353144e-08,0.9298245614035088,9,110
1839,4932.YDR388W,27,0.2800308668438652,0.002313883357591495,1.351917039033329e-05,2.4727287668144594e-05,0.42450142450142453,298,9
1840,4932.YEL018W,17,0.2721213131144809,4.019054067396589e-08,5.064976178002641e-06,4.582674358923712e-09,0.9779411764705882,9,110
1841,4932.YKL129C,13,0.2655284552845528,8.40758234961597e-05,3.0754180139682326e-06,1.1334742577136776e-05,0.6794871794871795,9,110
1842,4932.YIL062C,14,0.2631748589846898,8.029448223575193e-05,2.6479410577954616e-06,6.706490363290426e-06,0.6923076923076923,9,110
1843,4932.YHR114W,28,0.2808737530099759,0.001550675310138187,4.905159650759755e-06,2.085161571174822e-05,0.3968253968253968,9,110
1844,4932.YLR337C,21,0.2670045781556573,0.00029486015509888293,2.8344561150669976e-06,1.128977503462495e-05,0.5476190476190477,9,110
1845,4932.YGL106W,10,0.26739806779105946,8.786632955718035e-05,4.449922971636454e-06,1.0785175572713517e-05,0.5111111111111111,9,110
1846,4932.YNL090W,6,0.2619085805934242,0.0002777537460607147,2.3453882161654823e-06,0.00013108563145491223,0.4,238,46
1847,4932.YMR109W,17,0.266873672168655,0.0001246848960584484,3.174719788055136e-06,8.775082541525535e-06,0.5955882352941176,9,110
1848,4932.YIL118W,18,0.2852152650423544,0.0007086412063166059,1.3372465583528314e-05,4.3542465143079575e-05,0.46405228758169936,238,46
1849,4932.YNL079C,11,0.2657012691181256,0.00029615882529636416,2.625268417979713e-06,4.8242250502036374e-05,0.6363636363636364,9,110
1850,4932.YNL084C,24,0.28012694056094006,0.0005796920420317132,4.9405582624328535e-06,2.2046935952013397e-05,0.5108695652173914,9,110
1851,4932.YOR213C,20,0.2792885240294168,3.2293153658545995e-05,7.771267170325387e-06,2.576719898476701e-06,0.8263157894736842,9,110
1852,4932.YNL271C,30,0.28481730182262144,0.0019965565042976614,4.072026861897732e-06,3.225733624108958e-05,0.271264367816092,238,46
1853,4932.YGR167W,25,0.27710843373493976,0.0012407866293228061,6.3195290833117055e-06,3.795981154001371e-05,0.4266666666666667,172,26
1854,4932.YOR181W,40,0.28128498837309446,0.002176096848102037,5.219953878214135e-06,1.7868345090335823e-05,0.2987179487179487,9,110
1855,4932.YOR239W,2,0.25974232543343406,0.0,2.2594447706004688e-06,0.0,1.0,9,110
1856,4932.YIL138C,10,0.2644320297951583,9.864826767485204e-06,2.5210259805132053e-06,2.3757322411627234e-06,0.7777777777777778,9,110
1857,4932.YGR080W,10,0.2633233895025397,6.667700936766403e-05,2.408749101820099e-06,9.008592265003695e-06,0.7111111111111111,9,110
1858,4932.YNR035C,14,0.269360824742268,0.0003142393314888252,6.7684283692928305e-06,2.2707299401518604e-05,0.5164835164835165,9,110
1859,4932.YPL242C,13,0.2825015137098867,0.0008751804925302629,1.4413545847129194e-05,6.267459872118312e-05,0.46153846153846156,9,110
1860,4932.YLR429W,9,0.2647106500243151,5.918389922577927e-06,2.450284955145136e-06,1.6111918796021756e-06,0.8055555555555556,9,110
1861,4932.YLL021W,12,0.2716912070543216,0.0003066052355520952,4.5326800624413665e-06,2.757475165148384e-05,0.3939393939393939,238,46
