,cid,orf,betweeness_centrality,degree_centrality,eigenvector_centrality
2661,69,4932.YJL058C,0.0013736263736263,0.6428571428571428,0.3164521761321965
2662,69,4932.YJR066W,0.027014652014652,0.7142857142857142,0.32755247321065384
2663,70,4932.YDR188W,0.0,0.3571428571428571,0.20453194413989753
2664,70,4932.YML094W,0.1831501831501831,0.5714285714285714,0.38216863110137206
2665,70,4932.YFL023W,0.0,0.0714285714285714,0.05888912836578647
2666,70,4932.YEL003W,0.0,0.3571428571428571,0.26994597188558844
2667,70,4932.YJL179W,0.0,0.3571428571428571,0.26994597188558844
2668,70,4932.YDL143W,0.0,0.3571428571428571,0.20453194413989753
2669,70,4932.YDR183W,0.0,0.0,4.31407303486165e-35
2670,70,4932.YDR212W,0.2985347985347985,0.5714285714285714,0.35535971099774355
2671,70,4932.YJL014W,0.0,0.3571428571428571,0.20453194413989756
2672,70,4932.YNL153C,0.0439560439560439,0.4285714285714285,0.32068110434482605
2673,70,4932.YLR200W,0.206959706959707,0.5714285714285714,0.3535849635270352
2674,70,4932.YJL008C,0.0695970695970696,0.4285714285714285,0.2590943967435877
2675,70,4932.YMR074C,0.0,0.2142857142857142,0.17157781614184742
2676,70,4932.YJL111W,0.0,0.3571428571428571,0.20453194413989753
2677,70,4932.YGR078C,0.0109890109890109,0.4285714285714285,0.2944422066565284
2678,71,4932.YDR281C,0.0,0.2142857142857142,0.16592943889534675
2679,71,4932.YIL047C,0.0,0.0,9.826037463867856e-13
2680,71,4932.YCR037C,0.0027472527472527,0.2142857142857142,0.14995969115140959
2681,71,4932.YHR215W,0.0741758241758241,0.6428571428571428,0.3903253372905502
2682,71,4932.YJL198W,0.0,0.1428571428571428,0.0961612916086907
2683,71,4932.YML123C,0.2342490842490842,0.7857142857142857,0.41338690954170676
2684,71,4932.YBR296C,0.0545787545787545,0.4285714285714285,0.2258140468107656
2685,71,4932.YFL004W,0.0,0.0,9.826037463867856e-13
2686,71,4932.YBR093C,0.0,0.2142857142857142,0.17432071035052735
2687,71,4932.YPL019C,0.0021978021978021,0.4285714285714285,0.31630288605562656
2688,71,4932.YER072W,0.0,0.3571428571428571,0.2698762492905006
2689,71,4932.YHR136C,0.0578754578754578,0.5714285714285714,0.3576106673667691
2690,71,4932.YNR013C,0.0,0.1428571428571428,0.0961612916086907
2691,71,4932.YJL012C,0.0021978021978021,0.4285714285714285,0.31630288605562656
2692,71,4932.YAR071W,0.0554945054945055,0.5714285714285714,0.35503466566590647
2693,72,4932.YOR190W,0.0,0.0,1.690441486841289e-14
2694,72,4932.YLR308W,0.0,0.1428571428571428,0.06702001987241636
2695,72,4932.YNR067C,0.0,0.4285714285714285,0.327289647970566
2696,72,4932.YDR371W,0.0054945054945054,0.2142857142857142,0.0757511266316728
2697,72,4932.YLR286C,0.4560439560439561,0.7857142857142857,0.3716817689125781
2698,72,4932.YLR307W,0.0,0.1428571428571428,0.06702001987241636
2699,72,4932.YJL158C,0.0,0.1428571428571428,0.06548163164003877
2700,72,4932.YHR143W,0.0153846153846153,0.5,0.3626737720670757
