,cluster,protein,degree,degree_centrality,eigenvector_centrality,betweenness_centrality
184,23,YML026C,153,0.950,0.085,0.002
185,23,YML024W,153,0.950,0.085,0.002
186,23,YIL069C,150,0.932,0.084,0.001
187,23,YDR025W,150,0.932,0.084,0.001
188,23,YLR441C,154,0.957,0.085,0.002
189,23,YOL040C,155,0.963,0.085,0.002
190,23,YDR447C,152,0.944,0.085,0.002
191,23,YGR214W,152,0.944,0.085,0.002
192,23,YOR369C,152,0.944,0.085,0.002
193,23,YPR132W,150,0.932,0.084,0.001
194,23,YJR145C,153,0.950,0.085,0.002
195,23,YBL072C,153,0.950,0.085,0.002
196,23,YMR143W,152,0.944,0.085,0.002
197,23,YPL090C,152,0.944,0.085,0.002
198,23,YMR116C,156,0.969,0.086,0.004
199,23,YKR057W,150,0.932,0.084,0.001
200,23,YJL190C,154,0.957,0.085,0.002
201,23,YDL083C,152,0.944,0.085,0.002
202,23,YOR063W,151,0.938,0.084,0.004
203,23,YOR293W,151,0.938,0.085,0.001
204,23,YHL015W,155,0.963,0.085,0.002
205,23,YJL191W,150,0.932,0.084,0.001
206,24,YDR061W,2,1.000,0.707,1.000
207,25,YBR118W,1,1.000,0.707,0.000
208,25,YGR211W,1,1.000,0.707,0.000
209,26,YJR113C,70,0.854,0.131,0.006
210,26,YKL003C,75,0.915,0.137,0.009
211,26,YEL050C,70,0.854,0.131,0.006
212,26,YPL013C,75,0.915,0.137,0.010
213,26,YCR003W,68,0.829,0.129,0.004
214,26,YPR166C,72,0.878,0.135,0.006
215,26,YNL306W,69,0.841,0.131,0.005
216,26,YNR037C,71,0.866,0.132,0.007
217,26,YNL137C,69,0.841,0.129,0.007
218,26,YJL063C,71,0.866,0.132,0.006
219,26,YDR041W,68,0.829,0.127,0.006
220,26,YCR046C,70,0.854,0.130,0.007
221,26,YBL038W,70,0.854,0.131,0.007
222,26,YBR146W,74,0.902,0.136,0.008
223,26,YER050C,70,0.854,0.132,0.005
224,26,YGL129C,73,0.890,0.135,0.008
225,26,YBR251W,75,0.915,0.136,0.033
226,26,YDR337W,74,0.902,0.136,0.008
227,26,YNL005C,70,0.854,0.130,0.006
228,26,YMR158W,72,0.878,0.133,0.008
229,26,YGR220C,71,0.866,0.132,0.016
230,26,YOR150W,69,0.841,0.131,0.004
231,26,YLR439W,68,0.829,0.129,0.005
232,26,YPL183W-A,68,0.829,0.128,0.007
233,27,YER025W,3,1.000,0.500,0.000
234,27,YPR041W,3,1.000,0.500,0.000
235,27,YJR007W,3,1.000,0.500,0.000
236,27,YPL237W,3,1.000,0.500,0.000
237,28,YLR167W,3,0.600,0.491,0.050
238,28,YLL039C,5,1.000,0.604,0.750
239,29,YJR064W,0,1.000,1.000,0.000
240,30,YPR080W,0,1.000,1.000,0.000
241,31,YJL111W,6,1.000,0.378,0.000
242,31,YDL143W,6,1.000,0.378,0.000
243,31,YJL014W,6,1.000,0.378,0.000
244,31,YJL008C,6,1.000,0.378,0.000
245,31,YIL142W,6,1.000,0.378,0.000
246,31,YDR188W,6,1.000,0.378,0.000
247,31,YDR212W,6,1.000,0.378,0.000
248,32,YLR038C,32,0.667,0.181,0.033
249,32,YBL045C,35,0.729,0.192,0.026
