,cluster,protein,degree,betweenness_centrality,eigenvector_centrality,degree_centrality
57,8,YOL135C,24,0.014,0.222,1.000
58,8,YPR168W,23,0.009,0.217,0.958
59,8,YGL151W,23,0.012,0.213,0.958
60,8,YHR058C,23,0.009,0.217,0.958
61,8,YDL005C,24,0.014,0.222,1.000
62,8,YDR308C,24,0.014,0.222,1.000
63,8,YPL042C,17,0.004,0.160,0.708
64,8,YBL093C,24,0.014,0.222,1.000
65,9,YMR223W,14,0.000,0.252,0.875
66,9,YOL148C,14,0.000,0.252,0.875
67,9,YPL047W,14,0.000,0.252,0.875
68,9,YDR392W,14,0.000,0.252,0.875
69,9,YLR055C,14,0.000,0.252,0.875
70,9,YBR111W-A,14,0.000,0.252,0.875
71,9,YBR081C,14,0.000,0.252,0.875
72,9,YGL066W,14,0.000,0.252,0.875
73,9,YER164W,14,0.000,0.252,0.875
74,9,YPL254W,15,0.013,0.260,0.938
75,9,YHR099W,15,0.013,0.260,0.938
76,9,YOR023C,7,0.006,0.115,0.438
77,9,YDR448W,15,0.013,0.260,0.938
78,9,YCR082W,4,0.000,0.064,0.250
79,10,YJR090C,4,0.000,0.151,0.143
80,10,YJR033C,2,0.000,0.048,0.071
81,10,YMR258C,1,0.000,0.042,0.036
82,10,YDR202C,2,0.000,0.048,0.071
83,10,YER143W,1,0.000,0.009,0.036
84,10,YMR094W,2,0.000,0.048,0.071
85,10,YLR128W,7,0.007,0.217,0.250
86,10,YLR368W,1,0.000,0.042,0.036
87,10,YPR164W,3,0.000,0.077,0.107
88,10,YLR306W,8,0.005,0.270,0.286
89,10,YLR320W,3,0.000,0.077,0.107
90,10,YOL025W,3,0.000,0.098,0.107
91,10,YNL230C,2,0.000,0.055,0.071
92,10,YER066W,3,0.000,0.121,0.107
93,10,YPL003W,7,0.000,0.249,0.250
94,10,YLR352W,2,0.000,0.081,0.071
95,10,YPR066W,9,0.006,0.296,0.321
96,10,YOR080W,2,0.000,0.081,0.071
97,10,YNL311C,1,0.000,0.042,0.036
98,10,YMR168C,2,0.000,0.048,0.071
99,10,YDR054C,8,0.004,0.263,0.286
100,10,YJL149W,1,0.000,0.042,0.036
101,11,YHR111W,10,0.026,0.319,0.909
102,11,YLR384C,10,0.026,0.318,0.909
103,11,YGL211W,10,0.026,0.319,0.909
104,11,YMR312W,9,0.017,0.295,0.818
105,12,YDR168W,9,0.012,0.289,0.750
106,12,YDR214W,11,0.035,0.332,0.917
107,12,YOR027W,10,0.024,0.309,0.833
108,12,YLR216C,9,0.013,0.288,0.750
109,12,YNL281W,9,0.012,0.288,0.750
110,13,YKL017C,1,0.000,0.170,0.250
111,13,YOR064C,3,0.000,0.482,0.750
112,13,YPR031W,3,0.000,0.482,0.750
113,13,YLR455W,3,0.000,0.482,0.750
114,14,YML069W,3,0.167,0.557,1.000
115,14,YGL207W,3,0.167,0.557,1.000
116,15,YKL054C,1,0.000,0.500,0.500
117,15,YDR030C,1,0.000,0.500,0.500
118,16,YMR093W,135,0.003,0.090,0.672
119,16,YDR087C,126,0.003,0.082,0.627
120,16,YOL041C,121,0.002,0.079,0.602
121,16,YHR169W,128,0.002,0.085,0.637
122,16,YGL099W,74,0.003,0.053,0.368
123,16,YPR144C,138,0.003,0.091,0.687
124,16,YGL171W,140,0.002,0.094,0.697
125,16,YCL059C,137,0.003,0.090,0.682
126,16,YLR175W,126,0.003,0.084,0.627
127,16,YDR324C,135,0.003,0.090,0.672
128,16,YMR128W,119,0.002,0.080,0.592
129,16,YKL099C,108,0.002,0.072,0.537
130,16,YLR196W,126,0.003,0.085,0.627
131,16,YOR004W,135,0.003,0.088,0.672
132,16,YPL146C,113,0.002,0.075,0.562
133,16,YJL109C,127,0.003,0.084,0.632
134,16,YLR435W,85,0.003,0.059,0.423
135,16,YER127W,135,0.003,0.089,0.672
136,16,YHR066W,126,0.003,0.081,0.627
137,16,YJR002W,130,0.002,0.087,0.647
138,16,YDL014W,122,0.002,0.081,0.607
139,16,YNR038W,116,0.003,0.077,0.577
140,16,YDR449C,145,0.003,0.096,0.721
141,16,YHR148W,114,0.002,0.077,0.567
142,16,YDR060W,122,0.002,0.082,0.607
143,16,YMR229C,143,0.004,0.093,0.711
144,16,YJL010C,134,0.002,0.090,0.667
145,16,YDL208W,107,0.002,0.072,0.532
146,16,YDL148C,147,0.004,0.096,0.731
147,16,YDL031W,133,0.003,0.087,0.662
