,cluster,protein,degree,betweenness_centrality,eigenvector_centrality,degree_centrality
343,52,YER172C,73,0.019,0.148,0.785
344,52,YMR240C,69,0.011,0.144,0.742
345,52,YPL213W,78,0.018,0.158,0.839
346,52,YPR182W,79,0.019,0.159,0.849
347,52,YDL043C,71,0.012,0.148,0.763
348,52,YLR275W,79,0.019,0.159,0.849
349,52,YGR074W,71,0.034,0.145,0.763
350,52,YLR117C,69,0.016,0.141,0.742
351,52,YHR165C,74,0.021,0.149,0.796
352,52,YDR364C,55,0.027,0.119,0.591
353,52,YOR308C,64,0.014,0.129,0.688
354,52,YBR119W,33,0.011,0.072,0.355
355,52,YJL203W,66,0.010,0.138,0.710
356,52,YHR086W,35,0.012,0.078,0.376
357,52,YKL173W,78,0.027,0.155,0.839
358,52,YLR147C,79,0.019,0.159,0.849
359,52,YLL036C,58,0.014,0.123,0.624
360,52,YML049C,69,0.011,0.144,0.742
361,52,YMR288W,74,0.015,0.151,0.796
362,52,YOR159C,76,0.018,0.154,0.817
363,52,YER029C,77,0.021,0.154,0.828
364,53,YOR184W,1,0.000,0.707,1.000
365,53,YGR208W,1,0.000,0.707,1.000
366,54,YPL178W,2,1.000,0.707,1.000
367,55,YHR164C,25,0.027,0.175,0.439
368,55,YBR136W,33,0.034,0.220,0.579
369,55,YMR167W,18,0.030,0.116,0.316
370,55,YMR190C,44,0.123,0.261,0.772
371,55,YAR007C,28,0.059,0.187,0.491
372,55,YML095C,15,0.015,0.104,0.263
373,55,YER095W,42,0.103,0.258,0.737
374,55,YPL022W,30,0.063,0.193,0.526
375,55,YPL153C,25,0.017,0.169,0.439
376,55,YJL092W,29,0.030,0.193,0.509
377,55,YML032C,38,0.048,0.248,0.667
378,55,YDR386W,33,0.053,0.210,0.579
379,55,YOR033C,32,0.060,0.217,0.561
380,55,YDR217C,26,0.037,0.174,0.456
381,55,YCR092C,14,0.019,0.097,0.246
382,56,YMR061W,1,0.000,0.707,1.000
383,56,YBL051C,1,0.000,0.707,1.000
384,57,YOR048C,2,1.000,0.707,1.000
385,58,YJL168C,0,0.000,1.000,1.000
386,59,YLR438W,6,0.067,0.415,1.000
387,59,YOR323C,6,0.067,0.415,1.000
388,59,YHR037W,6,0.067,0.415,1.000
389,60,YKL020C,1,0.000,0.116,0.056
390,60,YBL101C,2,0.000,0.195,0.111
391,60,YIR033W,1,0.000,0.116,0.056
392,60,YGR068C,1,0.000,0.116,0.056
393,60,YER125W,17,0.843,0.590,0.944
394,60,YFR022W,2,0.000,0.195,0.111
395,60,YKR021W,3,0.000,0.242,0.167
396,60,YBR021W,1,0.000,0.116,0.056
397,60,YGR055W,1,0.000,0.079,0.056
398,60,YOR138C,1,0.000,0.116,0.056
399,60,YMR275C,3,0.000,0.249,0.167
400,60,YMR171C,1,0.000,0.116,0.056
401,60,YML111W,2,0.000,0.170,0.111
402,60,YJL084C,4,0.010,0.277,0.222
403,60,YOR322C,8,0.154,0.405,0.444
404,60,YOR018W,3,0.000,0.242,0.167
405,60,YPR030W,1,0.000,0.116,0.056
406,60,YPL176C,1,0.000,0.116,0.056
407,60,YLR392C,1,0.000,0.116,0.056
408,61,YGL058W,3,0.667,0.612,1.000
409,62,YER151C,3,0.286,0.315,0.429
410,62,YOR124C,6,0.619,0.542,0.857
411,63,YJL002C,10,0.010,0.319,0.909
412,63,YOR103C,10,0.010,0.319,0.909
413,63,YDL232W,10,0.010,0.319,0.909
414,63,YEL002C,10,0.010,0.319,0.909
415,63,YLR378C,11,0.192,0.323,1.000
416,63,YGL022W,10,0.010,0.319,0.909
417,64,YML085C,8,0.106,0.334,0.800
418,64,YFL037W,9,0.162,0.368,0.900
419,64,YML124C,8,0.082,0.345,0.800
420,65,YOR262W,1,0.000,0.707,1.000
421,65,YDR527W,1,0.000,0.707,1.000
422,66,YKL008C,12,0.117,0.343,0.923
423,66,YLR260W,10,0.042,0.318,0.769
424,66,YHL003C,12,0.117,0.343,0.923
425,66,YDR297W,11,0.078,0.330,0.846
426,66,YOR171C,10,0.042,0.318,0.769
427,67,YDL114W,1,0.000,0.707,1.000
428,67,YDR541C,1,0.000,0.707,1.000
429,68,YJL100W,7,0.001,0.320,0.438
430,68,YPL145C,3,0.004,0.118,0.188
431,68,YPL268W,7,0.001,0.320,0.438
432,68,YOR109W,7,0.001,0.320,0.438
433,68,YKL212W,16,0.697,0.442,1.000
434,68,YNL267W,8,0.026,0.334,0.500
435,68,YNL106C,7,0.001,0.320,0.438
436,69,YKL073W,11,0.041,0.285,0.407
437,69,YAL058W,12,0.066,0.304,0.444
438,69,YBR283C,7,0.077,0.191,0.259
439,69,YCL043C,13,0.059,0.312,0.481
440,69,YML130C,10,0.088,0.236,0.370
441,69,YJL034W,24,0.536,0.436,0.889
442,69,YOR254C,11,0.036,0.276,0.407
443,70,YLR024C,2,1.000,0.707,1.000
444,71,YML007W,2,0.000,0.577,1.000
445,71,YIR037W,2,0.000,0.577,1.000
446,71,YBR216C,2,0.000,0.577,1.000
447,72,YOR117W,39,0.007,0.170,0.886
448,72,YGR253C,39,0.027,0.165,0.886
449,72,YGR135W,39,0.027,0.165,0.886
450,72,YDL007W,39,0.007,0.170,0.886
451,72,YHR200W,39,0.007,0.170,0.886
452,72,YKL145W,39,0.007,0.170,0.886
453,72,YKL206C,18,0.015,0.069,0.409
454,72,YDL147W,39,0.007,0.170,0.886
455,72,YER012W,39,0.017,0.167,0.886
456,72,YOL038W,37,0.011,0.161,0.841
457,72,YBR173C,28,0.042,0.113,0.636
458,72,YOR157C,37,0.011,0.161,0.841
459,72,YGL048C,39,0.007,0.170,0.886
460,72,YOR259C,39,0.007,0.170,0.886
461,73,YJR066W,10,0.037,0.302,0.833
462,73,YHR186C,10,0.037,0.302,0.833
463,73,YIL105C,8,0.167,0.234,0.667
464,73,YKL203C,11,0.081,0.324,0.917
465,74,YDR466W,1,0.000,0.707,1.000
466,74,YBL105C,1,0.000,0.707,1.000
467,75,YCR021C,2,0.000,0.577,1.000
468,75,YCR027C,2,0.000,0.577,1.000
469,75,YNL270C,2,0.000,0.577,1.000
470,76,YDL047W,0,0.000,1.000,1.000
471,77,YOR014W,10,0.103,0.235,0.476
472,77,YDL188C,12,0.026,0.290,0.571
473,77,YDR435C,11,0.020,0.272,0.524
474,77,YDL134C,14,0.074,0.311,0.667
475,77,YGL190C,17,0.360,0.306,0.810
476,77,YAL016W,16,0.116,0.333,0.762
477,78,YDR211W,5,0.000,0.405,0.833
478,78,YOR260W,5,0.000,0.405,0.833
479,78,YDR283C,5,0.000,0.405,0.833
480,78,YGR083C,5,0.000,0.405,0.833
481,78,YGL230C,1,0.000,0.083,0.167
482,78,YKR026C,5,0.000,0.405,0.833
483,78,YLR291C,6,0.333,0.418,1.000
484,79,YGR249W,0,0.000,0.500,0.000
485,79,YGL073W,0,0.000,0.500,0.000
486,79,YJR147W,0,0.000,0.500,0.000
487,79,YHR206W,0,0.000,0.500,0.000
488,80,YGL180W,16,0.073,0.330,0.667
489,80,YNL223W,11,0.017,0.257,0.458
490,80,YBL078C,19,0.342,0.308,0.792
491,80,YOL082W,12,0.085,0.228,0.500
492,80,YIL146C,6,0.026,0.120,0.250
493,80,YDL149W,15,0.058,0.309,0.625
494,80,YPR049C,17,0.140,0.312,0.708
495,81,YHR034C,6,0.123,0.350,0.667
496,81,YPL235W,7,0.114,0.396,0.778
497,81,YDR190C,8,0.195,0.427,0.889
498,82,YML121W,4,0.167,0.510,1.000
499,82,YGR163W,4,0.167,0.510,1.000
500,83,YGL064C,1,0.000,0.226,0.167
501,83,YOL139C,6,0.867,0.645,1.000
502,83,YKR059W,1,0.000,0.226,0.167
503,83,YPL119C,2,0.000,0.347,0.333
504,83,YOR276W,2,0.000,0.347,0.333
505,83,YOR204W,2,0.000,0.347,0.333
506,83,YCL037C,2,0.000,0.347,0.333
507,84,YMR104C,1,0.000,0.707,1.000
508,84,YMR103C,1,0.000,0.707,1.000
509,85,YMR106C,6,0.033,0.405,1.000
510,85,YMR284W,6,0.033,0.405,1.000
511,85,YCR014C,6,0.033,0.405,1.000
512,85,YOR005C,6,0.033,0.405,1.000
513,86,YNL135C,4,0.833,0.636,1.000
514,86,YHR057C,1,0.000,0.271,0.250
515,86,YML078W,1,0.000,0.271,0.250
516,86,YGR037C,2,0.000,0.473,0.500
517,86,YLR179C,2,0.000,0.473,0.500
518,87,YHR030C,6,0.194,0.439,0.857
519,87,YPL089C,6,0.187,0.435,0.857
520,88,YNR056C,6,0.222,0.490,1.000
521,88,YNR058W,6,0.222,0.490,1.000
522,89,YER014W,8,0.222,0.357,0.889
523,89,YDR232W,7,0.000,0.351,0.778
524,89,YOR278W,7,0.000,0.351,0.778
525,89,YDR047W,7,0.000,0.351,0.778
526,89,YOR176W,7,0.000,0.351,0.778
527,89,YDL119C,1,0.000,0.051,0.111
528,89,YDL205C,7,0.000,0.351,0.778
529,89,YGL040C,7,0.000,0.351,0.778
530,89,YLR205C,1,0.000,0.051,0.111
531,89,YDR044W,8,0.222,0.357,0.889
532,90,YIL003W,6,0.013,0.392,1.000
533,90,YIL128W,6,0.013,0.392,1.000
534,90,YGL091C,6,0.013,0.392,1.000
535,90,YHR122W,6,0.013,0.392,1.000
536,90,YNL240C,6,0.013,0.392,1.000
537,91,YBL014C,6,0.000,0.378,1.000
538,91,YML043C,6,0.000,0.378,1.000
539,91,YOR295W,6,0.000,0.378,1.000
540,91,YLR141W,6,0.000,0.378,1.000
541,91,YBL025W,6,0.000,0.378,1.000
542,91,YJL025W,6,0.000,0.378,1.000
543,91,YMR270C,6,0.000,0.378,1.000
544,92,YEL009C,2,1.000,0.707,1.000
545,93,YER110C,10,0.039,0.308,0.769
546,93,YLR347C,11,0.041,0.338,0.846
547,93,YMR308C,10,0.039,0.308,0.769
548,93,YNL189W,9,0.300,0.234,0.692
