,cluster,protein,degree,degree_centrality,eigenvector_centrality,betweenness_centrality
192,20,YML106W,6,0.500,0.344,0.013
193,20,YLR420W,5,0.417,0.307,0.004
194,20,YDR007W,4,0.333,0.174,0.000
195,21,YER005W,0,1.000,1.000,0.000
196,22,YLR245C,3,0.750,0.470,0.083
197,22,YDR400W,3,0.750,0.470,0.083
198,23,YKL156W,147,0.913,0.083,0.001
199,23,YHR021C,146,0.907,0.083,0.001
200,23,YML063W,150,0.932,0.084,0.001
201,23,YHR203C,150,0.932,0.084,0.001
202,23,YLR075W,148,0.919,0.083,0.008
203,23,YNL162W,147,0.913,0.084,0.001
204,23,YER131W,150,0.932,0.084,0.001
205,23,YOR182C,149,0.925,0.084,0.001
206,23,YOR312C,145,0.901,0.083,0.000
207,23,YDR418W,146,0.907,0.083,0.013
208,23,YDL082W,148,0.919,0.084,0.001
209,23,YPL081W,150,0.932,0.084,0.001
210,23,YDR450W,150,0.932,0.084,0.001
211,23,YOL121C,148,0.919,0.083,0.001
212,23,YGL030W,146,0.907,0.084,0.001
213,23,YBR031W,150,0.932,0.084,0.002
214,23,YIL133C,146,0.907,0.084,0.000
215,23,YPL143W,145,0.901,0.083,0.000
216,23,YNL301C,146,0.907,0.084,0.000
217,23,YGR085C,147,0.913,0.084,0.001
218,23,YLR029C,149,0.925,0.084,0.001
219,23,YBR191W,145,0.901,0.083,0.000
220,23,YHR010W,146,0.907,0.084,0.000
221,23,YDR012W,146,0.907,0.083,0.001
222,23,YML073C,145,0.901,0.083,0.000
223,23,YNL302C,146,0.907,0.083,0.001
224,23,YKL180W,147,0.913,0.083,0.002
225,23,YMR242C,147,0.913,0.084,0.001
226,23,YBL092W,147,0.913,0.083,0.001
227,23,YGL103W,148,0.919,0.084,0.001
228,23,YOL120C,146,0.907,0.083,0.001
229,23,YHL033C,146,0.907,0.083,0.001
230,23,YIL069C,150,0.932,0.084,0.001
231,23,YDR025W,150,0.932,0.084,0.001
232,23,YLR048W,147,0.913,0.083,0.001
233,23,YLR325C,147,0.913,0.083,0.001
234,23,YLR061W,145,0.901,0.083,0.000
235,23,YFR031C-A,147,0.913,0.084,0.001
236,23,YBL027W,146,0.907,0.083,0.001
237,23,YPR132W,150,0.932,0.084,0.001
238,23,YOL127W,146,0.907,0.083,0.001
239,23,YGL031C,145,0.901,0.083,0.001
240,23,YMR230W,146,0.907,0.083,0.001
241,23,YBR189W,148,0.919,0.084,0.001
242,23,YPR102C,147,0.913,0.084,0.001
243,23,YKR057W,150,0.932,0.084,0.001
244,23,YDL075W,146,0.907,0.084,0.001
245,23,YLR287C-A,149,0.925,0.084,0.001
246,23,YJL191W,150,0.932,0.084,0.001
247,23,YGL147C,145,0.901,0.083,0.000
248,24,YKL081W,1,0.500,0.500,0.000
249,24,YPL048W,1,0.500,0.500,0.000
250,25,YBR118W,1,1.000,0.707,0.000
251,25,YGR211W,1,1.000,0.707,0.000
252,26,YCR003W,68,0.829,0.129,0.004
253,26,YKL170W,66,0.805,0.126,0.012
254,26,YMR188C,63,0.768,0.119,0.005
255,26,YGR215W,66,0.805,0.126,0.004
256,26,YJR101W,63,0.768,0.119,0.005
257,26,YDR405W,64,0.780,0.124,0.003
258,26,YNL252C,65,0.793,0.127,0.002
259,26,YNR036C,62,0.756,0.118,0.003
260,26,YNL177C,67,0.817,0.128,0.004
261,26,YDR237W,67,0.817,0.127,0.005
262,26,YDR041W,68,0.829,0.127,0.006
263,26,YDR036C,62,0.756,0.121,0.002
264,26,YHL004W,66,0.805,0.122,0.007
265,26,YBR282W,62,0.756,0.122,0.001
266,26,YDR462W,62,0.756,0.121,0.002
267,26,YDL045W-A,65,0.793,0.125,0.004
268,26,YMR024W,63,0.768,0.122,0.003
269,26,YBL090W,67,0.817,0.127,0.004
270,26,YGR165W,65,0.793,0.122,0.006
271,26,YNL284C,67,0.817,0.129,0.003
272,26,YPR100W,65,0.793,0.124,0.028
273,26,YMR286W,62,0.756,0.121,0.003
274,26,YLR439W,68,0.829,0.129,0.005
275,26,YPL183W-A,68,0.829,0.128,0.007
276,27,YER025W,3,1.000,0.500,0.000
277,27,YPR041W,3,1.000,0.500,0.000
278,27,YJR007W,3,1.000,0.500,0.000
279,27,YPL237W,3,1.000,0.500,0.000
280,28,YGL087C,2,0.400,0.389,0.000
281,28,YFR010W,2,0.400,0.389,0.000
282,29,YJR064W,0,1.000,1.000,0.000
283,30,YPR080W,0,1.000,1.000,0.000
284,31,YJL111W,6,1.000,0.378,0.000
285,31,YDL143W,6,1.000,0.378,0.000
286,31,YJL014W,6,1.000,0.378,0.000
287,31,YJL008C,6,1.000,0.378,0.000
288,31,YIL142W,6,1.000,0.378,0.000
289,31,YDR188W,6,1.000,0.378,0.000
290,31,YDR212W,6,1.000,0.378,0.000
291,32,YNL052W,28,0.583,0.171,0.003
292,32,YLR038C,32,0.667,0.181,0.033
293,32,YHR001W-A,30,0.625,0.178,0.007
294,32,YMR145C,30,0.625,0.174,0.010
295,32,YML120C,29,0.604,0.170,0.009
296,32,YLL041C,26,0.542,0.142,0.046
297,32,YMR256C,26,0.542,0.159,0.017
298,32,YIL111W,26,0.542,0.162,0.001
299,32,Q0120,29,0.604,0.162,0.014
300,32,YLR395C,26,0.542,0.164,0.001
301,32,YDL085W,28,0.583,0.159,0.012
302,32,Q0275,31,0.646,0.172,0.021
303,32,Q0045,29,0.604,0.170,0.010
