,cluster,protein,degree,eigenvector_centrality,betweenness_centrality,degree_centrality
1090,288,YLR360W,9,0.244,0.001,0.429
1091,288,YLR211C,9,0.244,0.001,0.429
1092,288,YLR240W,19,0.348,0.252,0.905
1093,289,YOR101W,4,0.479,0.056,1.000
1094,289,YJL005W,4,0.479,0.056,1.000
1095,289,YNL098C,4,0.479,0.056,1.000
1096,290,YHR046C,2,0.577,0.000,1.000
1097,290,YDR287W,2,0.577,0.000,1.000
1098,290,YPR113W,2,0.577,0.000,1.000
1099,291,YIL160C,1,0.707,0.000,1.000
1100,291,YBR222C,1,0.707,0.000,1.000
1101,292,YER081W,1,0.707,0.000,1.000
1102,292,YIL074C,1,0.707,0.000,1.000
1103,293,YOR236W,6,0.504,0.456,1.000
1104,293,YNL256W,5,0.479,0.122,0.833
1105,294,YBR200W,15,0.348,0.138,0.577
1106,294,YLR229C,21,0.436,0.464,0.808
1107,294,YNL271C,11,0.294,0.062,0.423
1108,294,YLL021W,7,0.204,0.022,0.269
1109,294,YAL041W,11,0.313,0.028,0.423
1110,294,YNL298W,11,0.313,0.034,0.423
1111,294,YGR152C,6,0.210,0.002,0.231
1112,295,YBR179C,0,1.000,0.000,1.000
1113,296,YEL013W,2,0.602,0.667,0.667
1114,296,YLR072W,2,0.602,0.667,0.667
1115,297,YMR097C,2,0.387,0.133,0.333
1116,297,YHR168W,5,0.632,0.833,0.833
1117,297,YGL136C,2,0.387,0.133,0.333
1118,298,YBL057C,1,0.707,0.000,1.000
1119,298,YMR276W,1,0.707,0.000,1.000
1120,299,YMR023C,2,0.577,0.000,1.000
1121,299,YGL236C,2,0.577,0.000,1.000
1122,299,YDL033C,2,0.577,0.000,1.000
1123,300,YBR208C,2,0.577,0.000,1.000
1124,300,YIR032C,2,0.577,0.000,1.000
1125,300,YNL314W,2,0.577,0.000,1.000
1126,301,YPL106C,5,0.456,0.183,0.714
1127,301,YLR090W,6,0.511,0.365,0.857
1128,302,YKR074W,1,0.707,0.000,1.000
1129,302,YPL225W,1,0.707,0.000,1.000
1130,303,YAL038W,2,0.707,1.000,1.000
1131,304,YDR519W,1,0.707,0.000,1.000
1132,304,YDR304C,1,0.707,0.000,1.000
1133,305,YBR153W,5,0.428,0.025,1.000
1134,305,YBL033C,5,0.428,0.025,1.000
1135,305,YBR256C,5,0.428,0.025,1.000
1136,305,YDR487C,5,0.428,0.025,1.000
1137,306,YLR377C,8,0.424,0.446,1.000
1138,306,YMR205C,6,0.396,0.018,0.750
1139,306,YJL155C,6,0.396,0.018,0.750
1140,306,YGR240C,6,0.396,0.018,0.750
1141,307,YER003C,2,0.577,0.000,1.000
1142,307,YFL045C,2,0.577,0.000,1.000
1143,307,YNR073C,2,0.577,0.000,1.000
1144,308,YOL122C,0,1.000,0.000,1.000
1145,309,YBR290W,0,1.000,0.000,1.000
1146,310,YDR182W,1,0.707,0.000,1.000
1147,310,YCR044C,1,0.707,0.000,1.000
1148,311,YMR319C,0,1.000,0.000,1.000
1149,312,YOL023W,0,1.000,0.000,1.000
1150,313,YHR218W,8,0.345,0.016,0.667
1151,313,YNL339C,11,0.382,0.340,0.917
1152,313,YLR466W,9,0.368,0.037,0.750
1153,313,YLL067C,10,0.374,0.204,0.833
1154,314,YHL016C,0,1.000,0.000,1.000
1155,315,YJL127C,2,0.707,1.000,1.000
1156,316,YPL111W,0,1.000,0.000,1.000
1157,317,YBR011C,2,0.577,0.000,1.000
1158,317,YMR267W,2,0.577,0.000,1.000
1159,317,YPL036W,2,0.577,0.000,1.000
1160,318,YBL019W,5,0.408,0.000,1.000
1161,318,YML060W,5,0.408,0.000,1.000
1162,318,YAL015C,5,0.408,0.000,1.000
1163,318,YML021C,5,0.408,0.000,1.000
1164,318,YKL114C,5,0.408,0.000,1.000
1165,318,YOL043C,5,0.408,0.000,1.000
1166,319,YLR411W,3,0.557,0.167,1.000
1167,319,YMR021C,3,0.557,0.167,1.000
1168,320,YIL065C,0,1.000,0.000,1.000
1169,321,YDR272W,8,0.380,0.146,0.889
1170,321,YOR040W,8,0.380,0.146,0.889
1171,321,YMR322C,7,0.370,0.044,0.778
1172,321,YOR391C,7,0.370,0.044,0.778
1173,322,YNL295W,2,0.707,1.000,1.000
1174,323,YJR069C,2,0.707,1.000,1.000
1175,324,YGR010W,7,0.413,0.310,1.000
1176,324,YLR328W,6,0.402,0.024,0.857
1177,324,YFR047C,6,0.402,0.024,0.857
1178,324,YOR209C,6,0.402,0.024,0.857
1179,325,YER007C-A,2,0.577,0.000,1.000
1180,325,YDR117C,2,0.577,0.000,1.000
1181,325,YJR014W,2,0.577,0.000,1.000
1182,326,YGR009C,27,0.211,0.067,0.818
1183,326,YLR026C,28,0.216,0.046,0.848
1184,326,YLR268W,29,0.215,0.056,0.879
1185,326,YOR075W,28,0.206,0.051,0.848
1186,326,YKL196C,28,0.218,0.019,0.848
1187,326,YIL004C,26,0.209,0.007,0.788
1188,326,YPL232W,27,0.216,0.009,0.818
1189,326,YOR106W,26,0.206,0.014,0.788
1190,326,YLR078C,26,0.209,0.008,0.788
1191,327,YDR179C,4,0.447,0.000,1.000
1192,327,YDL216C,4,0.447,0.000,1.000
1193,327,YOL117W,4,0.447,0.000,1.000
1194,327,YIL071C,4,0.447,0.000,1.000
1195,327,YMR025W,4,0.447,0.000,1.000
1196,328,YHR129C,0,1.000,0.000,1.000
1197,329,YDR106W,3,0.500,0.000,1.000
1198,329,YMR294W,3,0.500,0.000,1.000
1199,329,YPL174C,3,0.500,0.000,1.000
1200,329,YLL049W,3,0.500,0.000,1.000
1201,330,YKL007W,0,1.000,0.000,1.000
1202,331,YKR054C,4,0.510,0.167,1.000
1203,331,YDR488C,4,0.510,0.167,1.000
1204,332,YOR175C,28,0.336,0.282,0.800
1205,332,YOR311C,12,0.204,0.011,0.343
1206,332,YJR073C,11,0.198,0.003,0.314
1207,332,YKR089C,25,0.323,0.129,0.714
1208,332,YNL169C,12,0.192,0.031,0.343
1209,332,YKR031C,15,0.244,0.022,0.429
1210,332,YBR029C,13,0.213,0.019,0.371
1211,332,YHR123W,16,0.235,0.062,0.457
1212,332,YOR081C,25,0.327,0.122,0.714
1213,333,YHL032C,5,0.454,0.050,1.000
1214,333,YOR120W,5,0.454,0.050,1.000
1215,334,YDL142C,5,0.529,0.500,1.000
1216,334,YHR100C,4,0.494,0.100,0.800
1217,335,YPL110C,0,1.000,0.000,1.000
1218,336,YKL096W-A,2,0.707,1.000,1.000
1219,337,YHR053C,3,0.612,0.667,1.000
1220,338,YLR220W,3,0.612,0.667,1.000
1221,339,YBR207W,3,0.470,0.083,0.750
1222,339,YER145C,4,0.559,0.333,1.000
1223,339,YMR058W,3,0.470,0.083,0.750
1224,340,YGL009C,2,0.707,1.000,1.000
1225,341,YDR165W,0,1.000,0.000,1.000
1226,342,YDR465C,0,1.000,0.000,1.000
1227,343,YGR281W,6,0.456,0.306,0.667
1228,343,YOR153W,5,0.436,0.083,0.556
1229,343,YGL013C,6,0.435,0.417,0.667
1230,344,YNL313C,0,1.000,0.000,1.000
1231,345,YNL292W,7,0.415,0.090,1.000
1232,345,YOR243C,7,0.415,0.090,1.000
1233,346,YDL101C,1,0.707,0.000,1.000
1234,346,YML058W,1,0.707,0.000,1.000
1235,347,YOL090W,1,0.707,0.000,1.000
1236,347,YDR097C,1,0.707,0.000,1.000
1237,348,YDR227W,2,0.707,1.000,1.000
1238,349,YLR233C,2,0.577,0.000,1.000
1239,349,YLR318W,2,0.577,0.000,1.000
1240,349,YIL009C-A,2,0.577,0.000,1.000
1241,350,YIL096C,1,0.707,0.000,1.000
1242,350,YCR016W,1,0.707,0.000,1.000
1243,351,YCR034W,6,0.392,0.013,1.000
1244,351,YBR159W,6,0.392,0.013,1.000
1245,351,YDL015C,6,0.392,0.013,1.000
1246,351,YJL097W,6,0.392,0.013,1.000
1247,351,YGL055W,6,0.392,0.013,1.000
1248,352,YDR242W,1,0.707,0.000,0.500
1249,352,YPL103C,1,0.707,0.000,0.500
1250,353,YKR070W,2,0.707,1.000,1.000
1251,354,YGR268C,1,0.707,0.000,1.000
1252,354,YBR101C,1,0.707,0.000,1.000
1253,355,YFR014C,1,0.707,0.000,1.000
1254,355,YBR109C,1,0.707,0.000,1.000
1255,356,YDR171W,0,1.000,0.000,1.000
1256,357,YOR164C,7,0.444,0.353,1.000
1257,357,YOL111C,6,0.429,0.067,0.857
1258,358,YNR016C,2,0.577,0.000,1.000
1259,358,YMR207C,2,0.577,0.000,1.000
1260,358,YDL141W,2,0.577,0.000,1.000
1261,359,YNL104C,2,0.707,1.000,1.000
1262,360,YGR205W,0,1.000,0.000,1.000
1263,361,YBR176W,2,0.577,0.000,1.000
1264,361,YHR063C,2,0.577,0.000,1.000
1265,361,YIL145C,2,0.577,0.000,1.000
1266,362,YIL165C,1,0.707,0.000,1.000
1267,362,YIL164C,1,0.707,0.000,1.000
1268,363,YHR074W,4,0.440,0.000,0.800
1269,363,YJR049C,4,0.440,0.000,0.800
1270,363,YDR191W,4,0.440,0.000,0.800
1271,363,YOR025W,4,0.440,0.000,0.800
1272,363,YGL067W,5,0.462,0.400,1.000
1273,364,YPL057C,4,0.479,0.056,1.000
1274,364,YDR367W,4,0.479,0.056,1.000
1275,364,YKL004W,4,0.479,0.056,1.000
1276,365,YNL072W,3,0.612,0.667,1.000
1277,366,YLR425W,1,0.707,0.000,0.500
1278,366,YPR165W,1,0.707,0.000,0.500
1279,367,YIL103W,6,0.374,0.000,0.750
1280,367,YLR172C,6,0.374,0.000,0.750
1281,367,YJR097W,6,0.374,0.000,0.750
1282,367,YKL191W,6,0.374,0.000,0.750
1283,367,YBR246W,6,0.374,0.000,0.750
1284,367,YBL071W-A,7,0.383,0.250,0.875
1285,367,YLR143W,7,0.383,0.250,0.875
1286,368,YDR439W,5,0.514,0.267,0.833
