,cluster,protein,Subgraph Centrality,Betweenness Centrality,Degree Centrality,Eigenvector Centrality
1205,42,YIL045W,8016.214254501117,0.0,0.10526315789473684,0.01756459934357876
1206,42,YPL179W,0.9999999999999984,0.0,0.0,3.0196102245350486e-20
1207,42,YLR273C,8016.214254501117,0.0,0.10526315789473684,0.01756459934357876
1208,42,YBL051C,1.0000000000000018,0.0,0.0,3.0196102245350486e-20
1209,43,YHR119W,57.94801001996643,0.0,0.8571428571428571,0.37796447300918745
1210,43,YAR003W,57.948010019966404,0.0,0.8571428571428571,0.37796447300918745
1211,43,YLR015W,57.94801001996643,0.0,0.8571428571428571,0.37796447300918745
1212,43,YBR175W,57.94801001996643,0.0,0.8571428571428571,0.37796447300918745
1213,43,YPL138C,57.94801001996633,0.0,0.8571428571428571,0.37796447300918745
1214,43,YDR469W,57.94801001996638,0.0,0.8571428571428571,0.37796447300918745
1215,43,YBR258C,57.94801001996639,0.0,0.8571428571428571,0.37796447300918745
1216,43,YPL165C,1.0,0.0,0.0,4.589492874193423e-07
1217,44,YHR165C,1.7737977154523085e+21,0.019833158890399525,0.7628865979381443,0.14910990308087238
1218,44,YDR416W,1.3524234424338403e+21,0.00872857930875982,0.6288659793814433,0.13019967296689766
1219,44,YKL149C,2.624558120797974e+17,4.64762548588812e-05,0.020618556701030927,0.0018137370563997533
1220,44,YGR093W,6.646077787554625e+18,0.0014026135099591175,0.05154639175257732,0.009127068059646828
1221,44,YKR086W,5.971978758395566e+20,0.021254818247906333,0.422680412371134,0.086518929783802
1222,44,YHR086W,4.731054978905365e+20,0.010869843130822121,0.35051546391752575,0.07700796372885785
1223,44,YBR119W,4.1139288313842434e+20,0.01205971032787968,0.3402061855670103,0.07181002139464851
1224,44,YDL030W,1.4128468160817398e+21,0.006892881381863073,0.6391752577319587,0.1330770497935972
1225,44,YDL043C,1.7390499411901447e+21,0.0112613626824209,0.7319587628865979,0.14764238945260078
1226,44,YDL087C,5.258553726285184e+20,0.004774551101649378,0.3711340206185567,0.08118748904932549
1227,44,YDR235W,4.3711092097415125e+20,0.0002665930826899593,0.32989690721649484,0.07402052463755576
1228,44,YDR240C,4.0933973562739556e+20,0.0001409664303590688,0.31958762886597936,0.07163060174053618
1229,44,YDR243C,7.215395265710212e+20,0.010397702629293808,0.4948453608247423,0.09510123918919268
1230,44,YER029C,1.9043178914226674e+21,0.01917666729172132,0.7938144329896907,0.15449858666869637
1231,44,YFL017W-A,2.0335542986761836e+21,0.020496968858881782,0.8247422680412371,0.15965499370103123
1232,44,YGR013W,4.2351868419300177e+20,0.0041694324039316805,0.3402061855670103,0.07286066664035383
1233,44,YGR074W,1.6781722897321765e+21,0.03177991514322641,0.7319587628865979,0.14503528166100949
1234,44,YGR129W,1.1152027993763394e+21,0.006611837159667022,0.5670103092783505,0.11823063422056547
1235,44,YIL061C,5.971439438415188e+20,0.0012486402285700753,0.3917525773195876,0.08651594381324829
1236,44,YIR009W,1.5049755487085637e+21,0.00923738462930166,0.6701030927835051,0.13734717684792744
1237,44,YLR117C,1.5908639251871236e+21,0.01569335944232673,0.711340206185567,0.14121162397561057
1238,44,YOR159C,1.9036768790117863e+21,0.01710662520308267,0.7835051546391752,0.15447261875610138
1239,44,YNL187W,6.3536529352754e+17,0.0,0.020618556701030927,0.0028220760044800368
1240,44,YJL203W,1.5190889081676083e+21,0.009874411237199027,0.6804123711340206,0.13798980942741482
1241,44,YPR094W,1.3784791323509766e+21,0.006828892863844277,0.6288659793814433,0.131448430114453
1242,44,YLR298C,6.234225108597273e+20,0.0007559072561186878,0.3917525773195876,0.08839911860487755
1243,44,YPL213W,1.997746658154723e+21,0.02752045860847889,0.8144329896907216,0.15824313560487013
1244,44,YML049C,1.6599169835520568e+21,0.010411982596348068,0.711340206185567,0.14424416965996575
1245,44,YPR182W,2.0203651926553335e+21,0.01794218336448977,0.8144329896907216,0.15913641533582995
1246,44,YKL173W,1.908625580172429e+21,0.030905215224048762,0.8041237113402062,0.1546731690831775
1247,44,YMR240C,1.6599169835520568e+21,0.010411982596348068,0.711340206185567,0.14424416965996575
1248,44,YML046W,5.6124245675739185e+20,0.0007087749336576695,0.3711340206185567,0.08387479029679226
1249,44,YKL012W,4.841115740506345e+20,0.0006403799536573248,0.35051546391752575,0.07789851224310193
1250,44,YKL074C,3.8273330636939264e+20,0.0017984778307141365,0.3402061855670103,0.06926331477025326
1251,44,YLR275W,2.0223194151204125e+21,0.018083291686011603,0.8144329896907216,0.15921337787560327
1252,44,YOR308C,1.3382070283765303e+21,0.019557723899133864,0.6701030927835051,0.1295143777789621
1253,44,YLR147C,2.018645648672108e+21,0.018567873468106212,0.8144329896907216,0.15906870770099893
1254,44,YMR288W,1.8162414073217457e+21,0.012545338517607623,0.7525773195876289,0.15088347597269072
1255,44,YOR319W,1.4642484759276707e+21,0.008302907453427325,0.6597938144329897,0.13547610723879064
1256,44,YGL064C,4.0197625456757356e+18,1.385462834076845e-05,0.030927835051546393,0.0070983153534175825
1257,44,YBR055C,6.923706012194467e+20,0.006827565722645676,0.4536082474226804,0.09315953245805476
1258,44,YMR213W,1.2763873518031476e+21,0.030552311096302666,0.6391752577319587,0.12648658565479504
1259,44,YBL074C,1.2522772254187998e+20,0.0,0.16494845360824742,0.03961935916255589
1260,44,YHR156C,1.2522772254187998e+20,0.0,0.16494845360824742,0.03961935916255589
1261,44,YER172C,1.757933729009051e+21,0.018791049390069797,0.7525773195876289,0.148441670322415
1262,44,YPR082C,6.059105568897166e+20,0.000936412889141304,0.4020618556701031,0.08714899786288319
1263,44,YGR006W,8.204786373766599e+20,0.00552811687084805,0.5051546391752577,0.10141176076094124
1264,44,YAL032C,1.1358536990534215e+21,0.004466104424709767,0.5567010309278351,0.11932025215634313
1265,44,YBL026W,6.895082742486605e+20,0.0009908939996803963,0.422680412371134,0.09296678507538804
1266,44,YBR065C,9.96803610979251e+20,0.0032327773811791005,0.5154639175257731,0.11177830763973574
1267,44,YBR152W,5.260920410216631e+20,0.00027755463528421456,0.36082474226804123,0.08120613358238506
1268,44,YBR237W,1.764438699163462e+20,0.0008261460170457288,0.2268041237113402,0.047028285401101134
1269,44,YCR063W,1.0349857743693586e+21,0.0023394111316581523,0.5154639175257731,0.11389902326801796
1270,44,YDL098C,5.890527521355685e+20,0.00029273995849263414,0.38144329896907214,0.08592806550467914
1271,44,YDL209C,9.98490172766269e+20,0.012214119022743372,0.5360824742268041,0.11187282674797593
1272,44,YDR088C,6.798453860642471e+20,0.0008123929691854771,0.41237113402061853,0.0923118876772906
1273,44,YDR163W,9.56891606233418e+20,0.0026731716881037777,0.5051546391752577,0.10951759064838605
1274,44,YDR364C,1.1200433452114936e+21,0.028407275900095456,0.5670103092783505,0.11848690375158705
1275,44,YDR378C,6.402830895563655e+20,0.0007218957222543474,0.4020618556701031,0.08958681071700246
1276,44,YDR473C,8.580918015729558e+20,0.0044468787545635475,0.4948453608247423,0.10371088145051297
1277,44,YDR482C,8.575496103320787e+20,0.0012158238010983907,0.4639175257731959,0.10367694316750217
1278,44,YER013W,6.140873248335337e+20,0.0029039142881232354,0.41237113402061853,0.08773392352979616
1279,44,YER112W,6.510766704283218e+20,0.0008734170214672526,0.41237113402061853,0.0903387913852768
1280,44,YER146W,6.73412478170339e+20,0.0019193391912974015,0.422680412371134,0.09187526954114668
1281,44,YGL174W,9.134297181753392e+20,0.0026361737601369216,0.4845360824742268,0.10700172987514871
1282,44,YGR091W,6.570918728813834e+20,0.001867740724282558,0.422680412371134,0.09075511251218564
1283,44,YGR278W,9.038178974662723e+20,0.0011611200611786228,0.4742268041237113,0.10643712621067321
1284,44,YIR005W,9.43286357800411e+20,0.0029727245757955826,0.4845360824742268,0.10873649460304007
1285,44,YJR022W,6.419943010762444e+20,0.0017563915866263716,0.41237113402061853,0.08970643111079223
1286,44,YLL036C,1.2000834299388137e+21,0.0166000931752295,0.5979381443298969,0.12264752445273579
1287,44,YLR016C,6.814394958414144e+20,0.0007852526385549363,0.3917525773195876,0.09242029771942895
1288,44,YLR323C,5.1677087023821e+20,0.0004919505633803236,0.36082474226804123,0.08048243241221012
1289,44,YLR438C-A,6.402830895563658e+20,0.0007218957222543474,0.4020618556701031,0.08958681071700246
1290,44,YNL245C,5.8455906336616284e+20,0.0004759032645382328,0.38144329896907214,0.08559852344721439
1291,44,YPL064C,6.915921948640885e+20,0.000272990594213749,0.3917525773195876,0.09310616512906389
1292,44,YNL138W-A,1.195484991518104e+21,0.004295998769945722,0.5670103092783505,0.12241300185581137
1293,44,YNL147W,6.640149142838841e+20,0.0008970191936388379,0.41237113402061853,0.09123195003480986
1294,44,YPR178W,6.559693868158384e+20,0.0009614969654429236,0.41237113402061853,0.09067756149032023
1295,44,YNL286W,1.2872532407706131e+20,0.00028478661001699133,0.17525773195876287,0.0401687253318006
1296,44,YPL151C,1.0484375157695465e+21,0.0028577520358115424,0.5257731958762887,0.11463679382279841
1297,44,YNR011C,8.748920554848955e+20,0.006504558388352633,0.4742268041237113,0.10472023876322135
1298,44,YFR005C,3.5697862023162786e+19,7.670594010800196e-06,0.09278350515463918,0.021153340730359235
1299,44,YGL128C,1.0133349639075593e+20,0.00015290112608776815,0.16494845360824742,0.035639199721821085
1300,44,YGR075C,2.9383910230913568e+20,0.0,0.27835051546391754,0.06068944881665165
1301,44,YJR050W,6.107851043659739e+20,0.002329126389844445,0.41237113402061853,0.08749760377995118
1302,44,YKL095W,5.08165193111161e+20,0.0015494489155277172,0.38144329896907214,0.07980939412550693
1303,44,YLR424W,2.9297469126777582e+20,0.0007781687214121952,0.28865979381443296,0.06059910032135003
1304,44,YPR101W,6.535490104158616e+20,0.005087622906730416,0.4329896907216495,0.09050877688841708
1305,44,YMR268C,5.718280138075831e+19,3.1250568192148944e-05,0.14432989690721648,0.02677271659794316
1306,44,YPR152C,2.728631757015592e+18,0.00014302145175980167,0.041237113402061855,0.005848246468126549
1307,44,YNR032C-A,6.194665275829846e+19,0.0017798257451616423,0.13402061855670103,0.027865202753828953
1308,44,YOR148C,5.298475784852517e+18,0.0,0.041237113402061855,0.00814936035234669
1309,44,YPR169W,1.0000000000000007,0.0,0.0,1.6197717210262366e-15
1310,44,YBR188C,7.689853742485935e+19,2.763006551580339e-05,0.15463917525773196,0.031046141141466293
1311,44,YKR022C,5.83405203950487e+19,5.3694158075601374e-05,0.13402061855670103,0.02704179043084668
1312,44,YPR057W,3.7091599813351076e+18,0.0,0.030927835051546393,0.006818606449256396
1313,44,YIL041W,4.027734062759987e+17,0.0,0.010309278350515464,0.002246874377446485
1314,44,YKL183W,6.034794745606762e+17,0.0,0.010309278350515464,0.002750359086782168
1315,45,YGR208W,1.5430806348152435,0.0,1.0,0.7071067811865476
1316,45,YOR184W,1.5430806348152435,0.0,1.0,0.7071067811865476
1317,46,YPL178W,1.5430806348152435,0.0,0.5,0.7071067811839751
