,cluster,protein,degree,eigenvector_centrality,betweenness_centrality,degree_centrality
106,16,YMR131C,131,0.087,0.008,0.652
107,16,YJR002W,130,0.087,0.002,0.647
108,16,YDL014W,122,0.081,0.002,0.607
109,16,YNR038W,116,0.077,0.003,0.577
110,16,YKR060W,110,0.076,0.001,0.547
111,16,YHR088W,135,0.086,0.004,0.672
112,16,YHR148W,114,0.077,0.002,0.567
113,16,YDR060W,122,0.082,0.002,0.607
114,16,YOL010W,106,0.073,0.001,0.527
115,16,YDR365C,118,0.081,0.001,0.587
116,16,YDL153C,126,0.087,0.001,0.627
117,16,YGL111W,111,0.075,0.001,0.552
118,16,YDL031W,133,0.087,0.003,0.662
119,16,YGR090W,123,0.082,0.002,0.612
120,16,YPL126W,129,0.086,0.002,0.642
121,16,YPR112C,124,0.085,0.002,0.617
122,16,YGL120C,129,0.086,0.002,0.642
123,16,YOR145C,137,0.090,0.003,0.682
124,16,YPR143W,116,0.077,0.002,0.577
125,16,YPL266W,132,0.089,0.002,0.657
126,16,YER126C,127,0.082,0.003,0.632
127,16,YML093W,134,0.089,0.004,0.667
128,16,YIL091C,129,0.088,0.002,0.642
129,16,YBR142W,122,0.083,0.002,0.607
130,16,YFL002C,132,0.089,0.002,0.657
131,16,YLL011W,129,0.087,0.002,0.642
132,16,YLR002C,138,0.089,0.003,0.687
133,16,YNR053C,128,0.083,0.004,0.637
134,16,YKR024C,107,0.075,0.001,0.532
135,16,YCR072C,105,0.073,0.001,0.522
136,16,YHR065C,116,0.080,0.002,0.577
137,16,YJL069C,133,0.089,0.002,0.662
138,17,YDR005C,1,0.707,0.000,0.500
139,17,YHR205W,1,0.707,0.000,0.500
140,18,YDL111C,17,0.237,0.004,0.630
141,18,YLR398C,16,0.208,0.019,0.593
142,18,YDR280W,17,0.237,0.004,0.630
143,18,YJL050W,21,0.241,0.073,0.778
144,18,YOR076C,14,0.199,0.002,0.519
145,18,YHR069C,17,0.229,0.012,0.630
146,18,YCR035C,16,0.226,0.002,0.593
147,19,YPL207W,4,0.447,0.000,1.000
148,19,YGL050W,4,0.447,0.000,1.000
149,19,YOL141W,4,0.447,0.000,1.000
150,19,YML005W,4,0.447,0.000,1.000
151,19,YHR070W,4,0.447,0.000,1.000
152,20,YKL024C,6,0.312,0.045,0.500
153,20,YLR014C,5,0.298,0.004,0.417
154,20,YMR271C,4,0.253,0.000,0.333
155,20,YLR420W,5,0.307,0.004,0.417
156,21,YER005W,0,1.000,0.000,1.000
157,22,YLR245C,3,0.470,0.083,0.750
158,22,YDR400W,3,0.470,0.083,0.750
159,23,YKL156W,147,0.083,0.001,0.913
160,23,YLR075W,148,0.083,0.008,0.919
161,23,YNL162W,147,0.084,0.001,0.913
162,23,YER131W,150,0.084,0.001,0.932
163,23,YOR182C,149,0.084,0.001,0.925
164,23,YOR312C,145,0.083,0.000,0.901
165,23,YDR418W,146,0.083,0.013,0.907
166,23,YDL082W,148,0.084,0.001,0.919
167,23,YOL121C,148,0.083,0.001,0.919
168,23,YGL030W,146,0.084,0.001,0.907
169,23,YIL133C,146,0.084,0.000,0.907
170,23,YPL143W,145,0.083,0.000,0.901
171,23,YNL301C,146,0.084,0.000,0.907
172,23,YGR085C,147,0.084,0.001,0.913
173,23,YLR029C,149,0.084,0.001,0.925
174,23,YBR191W,145,0.083,0.000,0.901
175,23,YHR010W,146,0.084,0.000,0.907
176,23,YDR012W,146,0.083,0.001,0.907
177,23,YML073C,145,0.083,0.000,0.901
178,23,YKL180W,147,0.083,0.002,0.913
179,23,YMR242C,147,0.084,0.001,0.913
180,23,YBL092W,147,0.083,0.001,0.913
181,23,YGL103W,148,0.084,0.001,0.919
182,23,YOL120C,146,0.083,0.001,0.907
183,23,YHL033C,146,0.083,0.001,0.907
184,23,YIL069C,150,0.084,0.001,0.932
185,23,YDR025W,150,0.084,0.001,0.932
186,23,YLR048W,147,0.083,0.001,0.913
187,23,YLR325C,147,0.083,0.001,0.913
188,23,YLR061W,145,0.083,0.000,0.901
189,23,YFR031C-A,147,0.084,0.001,0.913
190,23,YBL027W,146,0.083,0.001,0.907
191,23,YOL127W,146,0.083,0.001,0.907
192,23,YMR230W,146,0.083,0.001,0.907
193,23,YBR189W,148,0.084,0.001,0.919
194,23,YPR102C,147,0.084,0.001,0.913
195,23,YKR057W,150,0.084,0.001,0.932
196,23,YDL075W,146,0.084,0.001,0.907
197,23,YOR063W,151,0.084,0.004,0.938
198,23,YLR287C-A,149,0.084,0.001,0.925
199,23,YGL147C,145,0.083,0.000,0.901
200,24,YKL081W,1,0.500,0.000,0.500
201,24,YPL048W,1,0.500,0.000,0.500
202,25,YBR118W,1,0.707,0.000,1.000
203,25,YGR211W,1,0.707,0.000,1.000
204,26,YKL170W,66,0.126,0.012,0.805
205,26,YNL137C,69,0.129,0.007,0.841
206,26,YGR215W,66,0.126,0.004,0.805
207,26,YDR405W,64,0.124,0.003,0.780
208,26,YNL252C,65,0.127,0.002,0.793
209,26,YNL177C,67,0.128,0.004,0.817
210,26,YDR237W,67,0.127,0.005,0.817
211,26,YDR041W,68,0.127,0.006,0.829
212,26,YDR036C,62,0.121,0.002,0.756
213,26,YHL004W,66,0.122,0.007,0.805
214,26,YBR282W,62,0.122,0.001,0.756
215,26,YDR462W,62,0.121,0.002,0.756
216,26,YDL045W-A,65,0.125,0.004,0.793
217,26,YDR322W,61,0.119,0.002,0.744
218,26,YMR024W,63,0.122,0.003,0.768
219,26,YBL090W,67,0.127,0.004,0.817
220,26,YGR165W,65,0.122,0.006,0.793
221,26,YPR100W,65,0.124,0.028,0.793
222,26,YMR286W,62,0.121,0.003,0.756
223,26,YLR439W,68,0.129,0.005,0.829
224,26,YPL183W-A,68,0.128,0.007,0.829
225,27,YER025W,3,0.500,0.000,1.000
226,27,YPR041W,3,0.500,0.000,1.000
227,27,YJR007W,3,0.500,0.000,1.000
228,27,YPL237W,3,0.500,0.000,1.000
229,28,YGL087C,2,0.389,0.000,0.400
230,28,YFR010W,2,0.389,0.000,0.400
231,29,YJR064W,0,1.000,0.000,1.000
232,30,YPR080W,0,1.000,0.000,1.000
233,31,YJL111W,6,0.378,0.000,1.000
234,31,YDL143W,6,0.378,0.000,1.000
235,31,YJL014W,6,0.378,0.000,1.000
236,31,YJL008C,6,0.378,0.000,1.000
237,31,YIL142W,6,0.378,0.000,1.000
238,31,YDR188W,6,0.378,0.000,1.000
239,31,YDR212W,6,0.378,0.000,1.000
240,32,YNL052W,28,0.171,0.003,0.583
241,32,YLR038C,32,0.181,0.033,0.667
242,32,YHR001W-A,30,0.178,0.007,0.625
243,32,YMR145C,30,0.174,0.010,0.625
244,32,YML120C,29,0.170,0.009,0.604
245,32,YMR256C,26,0.159,0.017,0.542
246,32,YIL111W,26,0.162,0.001,0.542
247,32,Q0120,29,0.162,0.014,0.604
248,32,YLR395C,26,0.164,0.001,0.542
249,32,YDL085W,28,0.159,0.012,0.583
250,32,Q0275,31,0.172,0.021,0.646
251,32,Q0045,29,0.170,0.010,0.604
252,32,YGL191W,30,0.174,0.009,0.625
253,33,YBR024W,2,0.341,0.000,0.333
254,33,YDR376W,3,0.380,0.333,0.500
255,33,YBR037C,2,0.341,0.000,0.333
256,34,YLR067C,0,1.000,0.000,1.000
257,35,YML129C,4,0.440,0.000,0.800
258,35,YLR203C,4,0.440,0.000,0.800
259,35,YIL157C,4,0.440,0.000,0.800
260,35,YJL062W-A,4,0.440,0.000,0.800
261,36,Q0115,3,0.557,0.167,1.000
262,36,Q0075,3,0.557,0.167,1.000
263,37,YPL234C,22,0.193,0.005,0.710
264,37,YML081C-A,24,0.195,0.019,0.774
265,37,YGR020C,21,0.185,0.004,0.677
266,37,YEL051W,23,0.200,0.008,0.742
267,37,YOR332W,22,0.193,0.005,0.710
268,37,Q0085,24,0.194,0.019,0.774
269,37,YHR039C-A,22,0.193,0.005,0.710
270,37,YDL185W,22,0.192,0.007,0.710
271,38,Q0055,1,0.707,0.000,1.000
272,38,Q0110,1,0.707,0.000,1.000
273,39,YLL018C-A,3,0.557,0.167,1.000
274,39,YLL009C,3,0.557,0.167,1.000
275,40,YDL069C,1,0.707,0.000,1.000
276,40,YDR197W,1,0.707,0.000,1.000
277,41,YGR174C,1,0.500,0.000,0.500
278,41,YBR120C,1,0.500,0.000,0.500
279,42,YGR062C,2,0.577,0.000,1.000
280,42,YDL107W,2,0.577,0.000,1.000
281,42,YOR266W,2,0.577,0.000,1.000
282,43,YEL059C-A,1,0.707,0.000,1.000
283,43,YDR231C,1,0.707,0.000,1.000
284,44,YDR296W,1,0.707,0.000,1.000
285,44,YKL011C,1,0.707,0.000,1.000
286,45,YNL206C,14,0.188,0.028,0.467
287,45,YBL008W,12,0.181,0.021,0.400
288,45,YML102W,14,0.198,0.027,0.467
289,45,YBL003C,12,0.194,0.005,0.400
290,45,YBL002W,10,0.166,0.001,0.333
291,45,YLL022C,9,0.161,0.002,0.300
292,45,YBR195C,11,0.176,0.005,0.367
293,45,YPL001W,9,0.161,0.002,0.300
294,46,YBR166C,0,1.000,0.000,1.000
295,47,YML127W,16,0.210,0.000,0.696
296,47,YHR056C,16,0.210,0.000,0.696
297,47,YIL126W,19,0.234,0.014,0.826
298,47,YMR091C,16,0.210,0.000,0.696
299,47,YDR303C,16,0.210,0.000,0.696
300,47,YCR020W-B,16,0.210,0.000,0.696
301,47,YLR033W,16,0.210,0.000,0.696
302,47,YKR008W,16,0.210,0.000,0.696
303,47,YBL006C,16,0.210,0.000,0.696
304,47,YFR037C,19,0.234,0.014,0.826
305,47,YLR321C,18,0.227,0.009,0.783
306,48,YCR053W,4,0.447,0.000,1.000
307,48,YER052C,4,0.447,0.000,1.000
308,48,YDR158W,4,0.447,0.000,1.000
309,48,YJR139C,4,0.447,0.000,1.000
310,48,YHR025W,4,0.447,0.000,1.000
311,49,YGR156W,16,0.221,0.000,0.485
312,49,YKL018W,17,0.231,0.003,0.515
313,49,YKR002W,17,0.229,0.004,0.515
314,49,YNL222W,17,0.231,0.003,0.515
315,49,YJR093C,17,0.231,0.003,0.515
316,49,YNL317W,17,0.229,0.004,0.515
317,49,YDR195W,17,0.231,0.003,0.515
318,49,YOR179C,17,0.231,0.003,0.515
319,50,YPL138C,6,0.378,0.000,1.000
320,50,YBR175W,6,0.378,0.000,1.000
321,50,YLR015W,6,0.378,0.000,1.000
322,50,YHR119W,6,0.378,0.000,1.000
323,50,YDR469W,6,0.378,0.000,1.000
324,50,YBR258C,6,0.378,0.000,1.000
325,50,YAR003W,6,0.378,0.000,1.000
326,51,YDR359C,14,0.112,0.000,0.192
327,51,YEL018W,12,0.103,0.000,0.164
328,51,YNL136W,13,0.117,0.001,0.178
329,51,YOR213C,13,0.106,0.000,0.178
330,51,YLL050C,20,0.069,0.016,0.274
331,51,YER092W,9,0.087,0.000,0.123
332,51,YOR141C,13,0.120,0.001,0.178
333,51,YOR181W,27,0.086,0.049,0.370
334,51,YCR088W,21,0.075,0.020,0.288
335,51,YDR181C,10,0.078,0.000,0.137
336,51,YEL044W,13,0.123,0.001,0.178
337,51,YMR127C,12,0.101,0.000,0.164
338,51,YDL029W,29,0.090,0.046,0.397
339,51,YJR082C,14,0.112,0.000,0.192
340,51,YOR244W,15,0.122,0.001,0.205
341,51,YFL024C,15,0.122,0.001,0.205
342,51,YDR129C,23,0.079,0.019,0.315
343,51,YHR090C,14,0.112,0.000,0.192
344,52,YNL138W-A,55,0.122,0.005,0.591
345,52,YGR129W,55,0.118,0.007,0.591
346,52,YDR473C,48,0.104,0.005,0.516
347,52,YDR243C,48,0.095,0.011,0.516
348,52,YPL151C,51,0.114,0.003,0.548
349,52,YBR065C,50,0.112,0.003,0.538
350,52,YGL174W,47,0.107,0.003,0.505
351,52,YLR016C,38,0.092,0.001,0.409
352,52,YGR278W,46,0.106,0.001,0.495
353,52,YPL064C,38,0.093,0.000,0.409
354,52,YDR088C,40,0.092,0.001,0.430
355,52,YAL032C,54,0.119,0.005,0.581
356,52,YBL026W,41,0.093,0.001,0.441
357,52,YDL209C,52,0.112,0.010,0.559
358,52,YGR006W,49,0.101,0.006,0.527
359,52,YNR011C,46,0.105,0.007,0.495
360,52,YDR364C,55,0.119,0.027,0.591
361,52,YDR482C,45,0.104,0.001,0.484
362,52,YBR055C,43,0.093,0.003,0.462
363,52,YLL036C,58,0.123,0.014,0.624
364,52,YIR005W,47,0.109,0.003,0.505
365,52,YCR063W,50,0.114,0.002,0.538
366,52,YDR163W,49,0.109,0.003,0.527
367,53,YOR184W,1,0.707,0.000,1.000
368,53,YGR208W,1,0.707,0.000,1.000
369,54,YMR125W,1,0.500,0.000,0.500
370,54,YPR057W,1,0.500,0.000,0.500
371,55,YPL024W,17,0.134,0.005,0.298
372,55,YLR234W,20,0.153,0.006,0.351
373,55,YER173W,18,0.138,0.005,0.316
374,55,YMR167W,18,0.116,0.030,0.316
375,55,YJR043C,15,0.122,0.003,0.263
376,55,YML061C,13,0.113,0.001,0.228
377,55,YBR228W,16,0.121,0.004,0.281
378,55,YBR073W,12,0.111,0.000,0.211
379,55,YHR154W,17,0.127,0.006,0.298
380,55,YPL167C,20,0.143,0.014,0.351
381,55,YDL059C,17,0.142,0.003,0.298
382,55,YBL088C,19,0.138,0.010,0.333
383,55,YBR274W,16,0.133,0.003,0.281
384,55,YMR224C,15,0.125,0.005,0.263
385,56,YMR061W,1,0.707,0.000,1.000
386,56,YBL051C,1,0.707,0.000,1.000
387,57,YDR370C,1,0.500,0.000,0.500
388,57,YGL246C,1,0.500,0.000,0.500
389,58,YJL168C,0,1.000,0.000,1.000
390,59,YDR300C,5,0.378,0.000,0.833
391,59,YER023W,5,0.378,0.000,0.833
392,59,YLR438W,6,0.415,0.067,1.000
393,59,YOR323C,6,0.415,0.067,1.000
394,59,YHR037W,6,0.415,0.067,1.000
395,59,YLR142W,5,0.378,0.000,0.833
396,60,YKL020C,1,0.116,0.000,0.056
397,60,YBL101C,2,0.195,0.000,0.111
398,60,YIR033W,1,0.116,0.000,0.056
399,60,YGR068C,1,0.116,0.000,0.056
400,60,YFR022W,2,0.195,0.000,0.111
401,60,YKR021W,3,0.242,0.000,0.167
402,60,YBR021W,1,0.116,0.000,0.056
403,60,YOR138C,1,0.116,0.000,0.056
404,60,YMR171C,1,0.116,0.000,0.056
405,60,YML111W,2,0.170,0.000,0.111
406,60,YOR018W,3,0.242,0.000,0.167
407,60,YPR030W,1,0.116,0.000,0.056
408,60,YPL176C,1,0.116,0.000,0.056
409,60,YLR392C,1,0.116,0.000,0.056
410,61,YDL074C,2,0.523,0.000,0.667
411,61,YPL055C,2,0.523,0.000,0.667
412,62,YJR099W,3,0.404,0.000,0.429
413,62,YHL013C,3,0.404,0.000,0.429
414,63,YJL002C,10,0.319,0.010,0.909
415,63,YOR103C,10,0.319,0.010,0.909
416,63,YDL232W,10,0.319,0.010,0.909
417,63,YEL002C,10,0.319,0.010,0.909
418,64,YER007W,7,0.338,0.008,0.700
419,64,YNL148C,7,0.338,0.008,0.700
420,64,YML124C,8,0.345,0.082,0.800
421,65,YOR262W,1,0.707,0.000,1.000
422,65,YDR527W,1,0.707,0.000,1.000
423,66,YKR053C,9,0.298,0.025,0.692
424,66,YJL134W,9,0.298,0.025,0.692
425,66,YLR260W,10,0.318,0.042,0.769
426,66,YOR171C,10,0.318,0.042,0.769
427,67,YDL114W,1,0.707,0.000,1.000
428,67,YDR541C,1,0.707,0.000,1.000
429,68,YJL100W,7,0.320,0.001,0.438
430,68,YNL128W,6,0.285,0.000,0.375
431,68,YBR058C-A,5,0.138,0.000,0.312
432,68,YPL268W,7,0.320,0.001,0.438
433,68,YDR062W,5,0.138,0.000,0.312
434,68,YOR109W,7,0.320,0.001,0.438
435,68,YLR350W,5,0.138,0.000,0.312
436,68,YNL106C,7,0.320,0.001,0.438
437,68,YGR038W,5,0.138,0.000,0.312
438,68,YJR110W,6,0.285,0.000,0.375
439,68,YMR296C,5,0.138,0.000,0.312
440,69,YOL088C,6,0.160,0.002,0.222
441,69,YHR079C,5,0.151,0.003,0.185
442,69,YDR518W,7,0.199,0.008,0.259
443,69,YBR283C,7,0.191,0.077,0.259
444,69,YDR086C,6,0.154,0.005,0.222
445,69,YMR214W,4,0.147,0.000,0.148
446,69,YPL094C,8,0.221,0.010,0.296
447,70,YDL020C,1,0.500,0.000,0.500
448,70,YGL017W,1,0.500,0.000,0.500
449,71,YML007W,2,0.577,0.000,1.000
450,71,YIR037W,2,0.577,0.000,1.000
451,71,YBR216C,2,0.577,0.000,1.000
452,72,YPR108W,37,0.166,0.003,0.841
453,72,YGR253C,39,0.165,0.027,0.886
454,72,YOR362C,37,0.164,0.006,0.841
455,72,YGR135W,39,0.165,0.027,0.886
456,72,YFR052W,37,0.165,0.003,0.841
457,72,YPR103W,37,0.164,0.006,0.841
458,72,YER094C,37,0.164,0.006,0.841
459,72,YDL097C,37,0.165,0.003,0.841
